"","scenario","team","agegroup","cml","lower","upper"
"1","HP01_","COL","0-4 years",79.670169,54.208599,111.113327
"2","HP01_","COL","5-17 years",38.233951,26.551611,52.242339
"3","HP01_","COL","18-49 years",183.551947,146.24816,216.914139
"4","HP01_","COL","50-64 years",230.241889,177.681019,277.099891
"5","HP01_","COL","65+ years",496.396091,332.297269,705.868989
"6","HP01_","NEU","0-4 years",155.402475,154.284949,158.865998
"7","HP01_","NEU","5-17 years",90.413882,89.601985,92.769117
"8","HP01_","NEU","18-49 years",166.496683,165.682661,168.887918
"9","HP01_","NEU","50-64 years",293.58803,292.381958,297.308673
"10","HP01_","NEU","65+ years",1467.605524,1460.898108,1488.473106
"11","HP01_","UTA","0-4 years",252.346183781787,137.377910873848,315.241699517445
"12","HP01_","UTA","5-17 years",109.216971377887,62.9380083698572,132.334411889962
"13","HP01_","UTA","18-49 years",306.649011568894,173.272726247642,375.732294867934
"14","HP01_","UTA","50-64 years",322.786999598389,180.679929366024,397.461110130706
"15","HP01_","UTA","65+ years",1365.06865165546,604.538705342016,1963.36106279632
"16","HP01_","UVA","0-4 years",120.858323743049,96.6074984188235,141.423598516687
"17","HP01_","UVA","5-17 years",122.109898293926,109.590748997784,130.826275162016
"18","HP01_","UVA","18-49 years",130.446858052783,104.836925097138,151.965910557603
"19","HP01_","UVA","50-64 years",188.681694224116,149.617925266158,222.03086541983
"20","HP01_","UVA","65+ years",97.6808176990614,73.9984693679579,119.074765610963
"21","HP01_","IMP","0-4 years",605.244786991732,557.620208487033,662.907475836486
"22","HP01_","IMP","5-17 years",333.097494523684,320.160555840595,342.53852004097
"23","HP01_","IMP","18-49 years",353.443805243573,326.208924402305,380.247413775123
"24","HP01_","IMP","50-64 years",516.863443922526,465.270594974641,559.086557861671
"25","HP01_","IMP","65+ years",960.766116524395,871.141728907275,1115.9323319367
"26","HP01_","COL2","0-4 years",229.496094893516,220.548588272718,237.47506865883
"27","HP01_","COL2","5-17 years",113.539228456991,110.892425990712,115.721292268813
"28","HP01_","COL2","18-49 years",176.463823874001,169.558415266637,182.845998046818
"29","HP01_","COL2","50-64 years",174.151229180269,161.625697584368,186.194250006327
"30","HP01_","COL2","65+ years",592.892641909149,546.149672770022,640.966194518861
