"","scenario","team","agegroup","cml","lower","upper"
"1","RL01_","COL","Overall",16.008811,13.614854,19.019763
"2","RL01_","COL","0-4 years",0.484601,0.396069,0.589276
"3","RL01_","COL","5-17 years",0.790807,0.657518,0.970295
"4","RL01_","COL","18-49 years",10.223972,8.646948,11.820236
"5","RL01_","COL","50-64 years",13.280241,11.345313,15.500526
"6","RL01_","COL","65+ years",67.711915,55.191872,83.657076
"7","RL01_","NEU","Overall",30.083235,27.928442,36.679193
"8","RL01_","NEU","0-4 years",0.945413,0.874123,1.153796
"9","RL01_","NEU","5-17 years",1.932047,1.793963,2.319554
"10","RL01_","NEU","18-49 years",9.119517,8.492918,10.945756
"11","RL01_","NEU","50-64 years",16.46463,15.348807,19.792911
"12","RL01_","NEU","65+ years",174.03621,161.317578,213.275142
"13","RL01_","UTA","Overall",6.60826577038078,3.67414514890571,8.92627305621336
"14","RL01_","UTA","0-4 years",1.02817013376649,0.647472601827865,1.26598841225305
"15","RL01_","UTA","5-17 years",1.9893737095868,1.52963520710403,2.47590728779452
"16","RL01_","UTA","18-49 years",7.4329399439271,4.18307436591623,9.87185405972035
"17","RL01_","UTA","50-64 years",7.8715470849162,4.42872018592434,10.4582929565065
"18","RL01_","UTA","65+ years",10.8681515237796,5.11172044535386,16.2974657180091
"19","RL01_","UVA","Overall",27.0096702381894,15.5286491991304,36.7911013258357
"20","RL01_","UVA","0-4 years",1.61351720263343,0.985877338131557,2.10672924571072
"21","RL01_","UVA","5-17 years",4.82184955912631,3.79593363104131,5.35556173481747
"22","RL01_","UVA","18-49 years",13.0672982897633,8.08422986581973,16.9014697860647
"23","RL01_","UVA","50-64 years",22.9431224122944,13.774290935816,30.2394783278175
"24","RL01_","UVA","65+ years",103.883988617365,56.2628791328867,146.627245509181
"25","RL01_","IMP","Overall",15.8828518924371,14.416616059604,17.4443249735915
"26","RL01_","IMP","0-4 years",0.92143537803812,0.814285694488286,1.05173604224739
"27","RL01_","IMP","5-17 years",1.90249697102475,1.69537893598342,2.15070486371084
"28","RL01_","IMP","18-49 years",7.54280686010986,6.89194813470632,8.34375213273864
"29","RL01_","IMP","50-64 years",7.39447639346731,6.57211475946086,8.30853512919301
"30","RL01_","IMP","65+ years",96.3510907574876,84.3250618956932,109.209955684396
"31","RL01_","COL2","Overall",11.7295096230666,9.5230697774626,14.1070456772758
"32","RL01_","COL2","0-4 years",1.18707954081703,1.04999618181346,1.30400726488688
"33","RL01_","COL2","5-17 years",2.01464367547993,1.80805426951779,2.2037420679586
"34","RL01_","COL2","18-49 years",7.4737506094407,6.06965437944747,8.83746685563001
"35","RL01_","COL2","50-64 years",7.84277764488207,5.99423341007758,9.92369789220728
"36","RL01_","COL2","65+ years",50.1489511834294,36.876072576648,65.9641418722208
"37","RL01_","NEU2","Overall",4.853469,4.515781,5.83877
"38","RL01_","NEU2","0-4 years",1.365358,1.262402,1.666304
"39","RL01_","NEU2","5-17 years",1.937676,1.79919,2.326312
"40","RL01_","NEU2","18-49 years",6.568572,6.117248,7.883969
"41","RL01_","NEU2","50-64 years",6.004623,5.597685,7.218442
"42","RL01_","NEU2","65+ years",3.222937,2.987403,3.949593
"43","RL01_","NEU3","Overall",20.251185,18.302124,25.279174
"44","RL01_","NEU3","0-4 years",0.925393,0.825713,1.157103
"45","RL01_","NEU3","5-17 years",1.67075,1.482495,2.05042
"46","RL01_","NEU3","18-49 years",7.298884,6.567505,8.997733
"47","RL01_","NEU3","50-64 years",13.596345,12.317199,16.788737
"48","RL01_","NEU3","65+ years",108.858111,98.433505,136.595772
