"","scenario","team","agegroup","cml","lower","upper"
"1","RL01_","COL","Overall",0.17523538,0.15311878,0.20181478
"2","RL01_","COL","0-4 years",0.09692022,0.07921387,0.11785523
"3","RL01_","COL","5-17 years",0.10983433,0.0913219,0.13476317
"4","RL01_","COL","18-49 years",0.2555993,0.2161737,0.2955059
"5","RL01_","COL","50-64 years",0.16810432,0.14361156,0.19620919
"6","RL01_","COL","65+ years",0.04312861,0.03515406,0.05328476
"7","RL01_","NEU","Overall",0.21282391,0.19753198,0.25692608
"8","RL01_","NEU","0-4 years",0.18848476,0.17398922,0.23065964
"9","RL01_","NEU","5-17 years",0.2676413,0.24816746,0.32203344
"10","RL01_","NEU","18-49 years",0.22711822,0.21114505,0.27349442
"11","RL01_","NEU","50-64 years",0.2075876,0.19312092,0.25039737
"12","RL01_","NEU","65+ years",0.11037397,0.10211405,0.13576358
"13","RL01_","UTA","Overall",0.138747289164415,0.0825344991668996,0.177738495844662
"14","RL01_","UTA","0-4 years",0.19576720098392,0.122764077974827,0.240985045334617
"15","RL01_","UTA","5-17 years",0.210995996787278,0.141862048517485,0.250151787822973
"16","RL01_","UTA","18-49 years",0.139951536979847,0.0785551360585317,0.185215891236663
"17","RL01_","UTA","50-64 years",0.138821034088376,0.0779343892125068,0.183634302613756
"18","RL01_","UTA","65+ years",0.00692087203329762,0.00324730738236676,0.010342956585859
"19","RL01_","UVA","Overall",0.220341197037651,0.146972523881756,0.274007369896087
"20","RL01_","UVA","0-4 years",0.205568734747451,0.125604830416402,0.268405976490211
"21","RL01_","UVA","5-17 years",0.414394229317658,0.326226086305922,0.460261925146956
"22","RL01_","UVA","18-49 years",0.214887335294167,0.132942452054617,0.277938986779555
"23","RL01_","UVA","50-64 years",0.190047031641993,0.11409794175067,0.250485641787901
"24","RL01_","UVA","65+ years",0.0614622511660276,0.0332875475284029,0.0867510066862667
"25","RL01_","IMP","Overall",0.170083204769698,0.157498187633876,0.185985497252481
"26","RL01_","IMP","0-4 years",0.184287075607624,0.162857138897657,0.210347208449478
"27","RL01_","IMP","5-17 years",0.264235690420105,0.235469296664363,0.298709008848728
"28","RL01_","IMP","18-49 years",0.188570171502747,0.172298703367658,0.208593803318466
"29","RL01_","IMP","50-64 years",0.0936009670059153,0.0831913260691248,0.105171330749279
"30","RL01_","IMP","65+ years",0.0613701215015845,0.053710230506811,0.0695604813276405
"31","RL01_","COL2","Overall",0.169187321559559,0.148267870840548,0.187430659939279
"32","RL01_","COL2","0-4 years",0.237415908163407,0.209999236362692,0.260801452977376
"33","RL01_","COL2","5-17 years",0.279811621594434,0.251118648544137,0.306075287216472
"34","RL01_","COL2","18-49 years",0.186843765236017,0.151741359486187,0.22093667139075
"35","RL01_","COL2","50-64 years",0.0992756663909123,0.0758763722794631,0.125616429015282
"36","RL01_","COL2","65+ years",0.0319420071232034,0.0234879443163363,0.0420153769886756
"37","RL01_","NEU2","Overall",0.21282391,0.19753198,0.25692608
"38","RL01_","NEU2","0-4 years",0.18848476,0.17398922,0.23065964
"39","RL01_","NEU2","5-17 years",0.2676413,0.24816746,0.32203344
"40","RL01_","NEU2","18-49 years",0.22711822,0.21114505,0.27349442
"41","RL01_","NEU2","50-64 years",0.2075876,0.19312092,0.25039737
"42","RL01_","NEU2","65+ years",0.11037397,0.10211405,0.13576358
"43","RL01_","NEU3","Overall",0.17411816,0.1557941,0.2157014
"44","RL01_","NEU3","0-4 years",0.18443251,0.16397238,0.23140543
"45","RL01_","NEU3","5-17 years",0.23139325,0.20468378,0.28477604
"46","RL01_","NEU3","18-49 years",0.18170788,0.16296291,0.22494136
"47","RL01_","NEU3","50-64 years",0.17135064,0.15442374,0.21251483
"48","RL01_","NEU3","65+ years",0.06899757,0.06208482,0.08700333
