"","team","week","sm.mean","sm.perc2p5","sm.perc97p5","Date"
"1","COL",1,0.000156,0.000125,0.000189,2020-07-01
"2","COL",2,0.000377,0.000292,0.000481,2020-07-08
"3","COL",3,0.000841,0.000619,0.001135,2020-07-15
"4","COL",4,0.001833,0.001279,0.002585,2020-07-22
"5","COL",5,0.004041,0.002656,0.006075,2020-07-29
"6","COL",6,0.009054,0.005619,0.01424,2020-08-05
"7","COL",7,0.020753,0.011857,0.03424,2020-08-12
"8","COL",8,0.049076,0.025622,0.083771,2020-08-19
"9","COL",9,0.116944,0.056459,0.204387,2020-08-26
"10","COL",10,0.27677,0.126994,0.48782,2020-09-02
"11","COL",11,0.596278,0.285633,1.010832,2020-09-09
"12","COL",12,1.04376,0.604221,1.57335,2020-09-16
"13","COL",13,1.340397,1.016859,1.776725,2020-09-23
"14","COL",14,1.411822,1.201092,1.873462,2020-09-30
"15","COL",15,1.370785,1.105806,1.837862,2020-10-07
"16","COL",16,1.338389,1.073594,1.767447,2020-10-14
"17","COL",17,1.29399,1.054652,1.681945,2020-10-21
"18","COL",18,1.218882,0.998052,1.547573,2020-10-28
"19","COL",19,1.106945,0.880729,1.364303,2020-11-04
"20","COL",20,0.986904,0.760146,1.207058,2020-11-11
"21","COL",21,0.872711,0.657156,1.106494,2020-11-18
"22","COL",22,0.778622,0.579842,1.006307,2020-11-25
"23","COL",23,0.680412,0.492746,0.907495,2020-12-02
"24","COL",24,0.590782,0.391981,0.831735,2020-12-09
"25","COL",25,0.509979,0.309404,0.753693,2020-12-16
"26","COL",26,0.415672,0.232638,0.641014,2020-12-23
"27","COL",27,0.337686,0.173757,0.541201,2020-12-30
"28","COL",28,0.27324,0.129257,0.451306,2021-01-06
"29","COL",29,0.218209,0.095331,0.367061,2021-01-13
"30","COL",30,0.170626,0.068857,0.289482,2021-01-20
"31","COL",31,0.131193,0.049151,0.227975,2021-01-27
"32","COL",32,0.099738,0.034886,0.179056,2021-02-03
"33","COL",33,0.073448,0.024112,0.131748,2021-02-10
"34","COL",34,0.054232,0.016633,0.099833,2021-02-17
"35","COL",35,0.039088,0.011221,0.070801,2021-02-24
"36","COL",36,0.027942,0.007509,0.050368,2021-03-03
"37","COL",37,0.019904,0.005004,0.036774,2021-03-10
"38","COL",38,0.013777,0.003213,0.026437,2021-03-17
"39","COL",39,0.009445,0.002044,0.01836,2021-03-24
"40","COL",40,0.006463,0.00129,0.012908,2021-03-31
"41","COL",41,0.004313,0.000796,0.00882,2021-04-07
"42","COL",42,0.002865,0.000487,0.00603,2021-04-14
"43","COL",43,0.001886,0.000291,0.004083,2021-04-21
"44","COL",44,0.001222,0.000172,0.002725,2021-04-28
"45","COL",45,0.000792,9.8e-05,0.001831,2021-05-05
"46","COL",46,0.000508,5.6e-05,0.001219,2021-05-12
"47","COL",47,0.00032,3e-05,0.000801,2021-05-19
"48","COL",48,2e-04,1.7e-05,0.000531,2021-05-26
"49","COL",49,0.000122,7e-06,0.000348,2021-06-02
"50","COL",50,7.4e-05,3e-06,0.000228,2021-06-09
"51","COL",51,4.4e-05,0,0.000154,2021-06-16
"52","COL",52,2.6e-05,0,9.5e-05,2021-06-23
"261","COL2",1,0.0304382669647882,0.02158148771038,0.038850774740552,2020-07-01
"262","COL2",2,0.0439239411250038,0.0316950987178392,0.0565502193468696,2020-07-08
"263","COL2",3,0.0542375698234073,0.0393198551144598,0.0732735243113871,2020-07-15
"264","COL2",4,0.0657497306341181,0.0455390782751858,0.09514124153303,2020-07-22
"265","COL2",5,0.0791734000786228,0.0515724005402473,0.119551970765603,2020-07-29
"266","COL2",6,0.0949108768201675,0.0582836715400175,0.151098988262787,2020-08-05
"267","COL2",7,0.113225135964002,0.0663301376797523,0.190331731987668,2020-08-12
"268","COL2",8,0.137079828181165,0.0757477235326037,0.241249609166054,2020-08-19
"269","COL2",9,0.21546794556788,0.115273528074697,0.387353021747663,2020-08-26
"270","COL2",10,0.346307367643625,0.181470982008351,0.638027964167681,2020-09-02
"271","COL2",11,0.545845525920972,0.284681294733253,1.01037203085068,2020-09-09
"272","COL2",12,0.826342118377767,0.443971228606839,1.46278317652987,2020-09-16
"273","COL2",13,1.18623305420912,0.679218321340897,1.91725541216532,2020-09-23
"274","COL2",14,1.57866581788044,1.00357398744478,2.21931294062258,2020-09-30
"275","COL2",15,1.85817418232785,1.35592569966684,2.23773244905775,2020-10-07
"276","COL2",16,1.96733947428417,1.63038806509741,2.23723568539838,2020-10-14
"277","COL2",17,1.85186390726376,1.3476410560865,2.25096213815365,2020-10-21
"278","COL2",18,1.5577706624715,0.953682906154771,2.12194533744149,2020-10-28
"279","COL2",19,1.22748537949816,0.656439735170651,1.8247044245595,2020-11-04
"280","COL2",20,0.897283052557469,0.437722678182126,1.39786903485048,2020-11-11
"281","COL2",21,0.631492681440731,0.290897053808413,1.00803577472175,2020-11-18
"282","COL2",22,0.436133795912284,0.192037275116985,0.71739140505889,2020-11-25
"283","COL2",23,0.30122620492775,0.129193189530288,0.509804480074685,2020-12-02
"284","COL2",24,0.209457037613179,0.0891485759705216,0.359643632749107,2020-12-09
"285","COL2",25,0.144920886295829,0.0623156137047683,0.247081346518977,2020-12-16
"286","COL2",26,0.103671457724558,0.0454507683150141,0.176474492524253,2020-12-23
"287","COL2",27,0.0728542615755218,0.0334977097519646,0.124133780742904,2020-12-30
"288","COL2",28,0.0520799299002983,0.0254947761470319,0.0865341700214165,2021-01-06
"289","COL2",29,0.0385467353787284,0.0200366116794282,0.0627699658787494,2021-01-13
"290","COL2",30,0.0297931092010155,0.0167357608535999,0.0471593696773929,2021-01-20
"291","COL2",31,0.0237391754173793,0.0146544456511387,0.0359431490013933,2021-01-27
"292","COL2",32,0.0193661426858428,0.0130507172851355,0.0276933674066614,2021-02-03
"293","COL2",33,0.01631053483738,0.0117720452566259,0.0220834402218578,2021-02-10
"294","COL2",34,0.0140686012990403,0.0109043968982272,0.018001160145498,2021-02-17
"295","COL2",35,0.0124827338422667,0.0102234283086272,0.0154103799453774,2021-02-24
"296","COL2",36,0.0113299804849465,0.00968976492289491,0.0133275211211596,2021-03-03
"297","COL2",37,0.0104488681810352,0.00919878588886722,0.0119716713940143,2021-03-10
"298","COL2",38,0.00976287937417006,0.00867079278360749,0.0109535220843197,2021-03-17
"299","COL2",39,0.00924846800386824,0.00814686182236271,0.0103608380879422,2021-03-24
"300","COL2",40,0.00875815372211218,0.00772056510424834,0.00983053185563041,2021-03-31
"301","COL2",41,0.00843940809537046,0.00738993025605909,0.00947337867280328,2021-04-07
"302","COL2",42,0.00809977967954575,0.00706036702184804,0.00917003929416828,2021-04-14
"303","COL2",43,0.0077630373709513,0.00672077346130912,0.00887501125929795,2021-04-21
"304","COL2",44,0.00755108584146878,0.00651062668515341,0.00866408705628621,2021-04-28
"305","COL2",45,0.007283006797666,0.00624848174487944,0.00841274858684298,2021-05-05
"306","COL2",46,0.00706723265234527,0.00604105267161446,0.00823952675160643,2021-05-12
"307","COL2",47,0.00691341441048117,0.00587982764235436,0.0081156162889862,2021-05-19
"308","COL2",48,0.00673820943157841,0.00569473895407883,0.00794924117643411,2021-05-26
