"","team","Deaths"
"1","ENS","55 (49, 61)"
"2","UVA","41 (34, 47)"
"3","UTA","79 (60, 93)"
"4","NEU3","70 (70, 71)"
"5","IMP","55 (51, 61)"
"6","COL2","39 (37, 41)"
"7","COL","45 (39, 52)"
