"","Team","Scenario","Reduction","Rank","Output"
"1","COL","HP02",19907451.252,5,"Averted Number"
"2","NEU3","HP02",21912717.528,8,"Averted Number"
"3","UTA","HP02",61956881.8858203,3,"Averted Number"
"4","UVA","HP02",15223878.6365275,5,"Averted Number"
"5","IMP","HP02",16112961.0791817,7,"Averted Number"
"6","COL2","HP02",4147764.39355962,9,"Averted Number"
"7","ENS","HP02",23210275.7958482,5,"Averted Number"
"8","COL","HP03",0,11,"Averted Number"
"9","NEU3","HP03",190237.476000004,11,"Averted Number"
"10","UTA","HP03",-3595630.03455678,11,"Averted Number"
"11","UVA","HP03",449800.17517173,9,"Averted Number"
"12","IMP","HP03",246982.347035194,11,"Averted Number"
"13","COL2","HP03",28267.1140784036,11,"Averted Number"
"14","ENS","HP03",-446723.820378578,11,"Averted Number"
"15","COL","HP04",21845770.7,4,"Averted Number"
"16","NEU3","HP04",34692996.156,5,"Averted Number"
"17","UTA","HP04",2323093.36139531,10,"Averted Number"
"18","UVA","HP04",3844609.83163717,7,"Averted Number"
"19","IMP","HP04",3960969.81930094,9,"Averted Number"
"20","COL2","HP04",9847328.09460273,7,"Averted Number"
"21","ENS","HP04",12752461.327156,9,"Averted Number"
"22","COL","HP05",26693189.224,3,"Averted Number"
"23","NEU3","HP05",62370534.772,2,"Averted Number"
"24","UTA","HP05",5438184.61314518,8,"Averted Number"
"25","UVA","HP05",328143.501680635,10,"Averted Number"
"26","IMP","HP05",33225986.7658756,5,"Averted Number"
"27","COL2","HP05",5667323.39112167,8,"Averted Number"
"28","ENS","HP05",22287227.0446371,6,"Averted Number"
"29","COL","HP06",2984357.11599999,10,"Averted Number"
"30","NEU3","HP06",17938602.136,9,"Averted Number"
"31","UTA","HP06",19599716.3057179,7,"Averted Number"
"32","UVA","HP06",10989437.2106798,6,"Averted Number"
"33","IMP","HP06",22470513.6197688,6,"Averted Number"
"34","COL2","HP06",13354403.4052115,6,"Averted Number"
