"","team","week","HP13_mean","HP13_perc2p5","HP13_perc97p5","Date","HP14_mean","HP14_perc2p5","HP14_perc97p5","HP15_mean","HP15_perc2p5","HP15_perc97p5","HP16_mean","HP16_perc2p5","HP16_perc97p5","HP17_mean","HP17_perc2p5","HP17_perc97p5","HP18_mean","HP18_perc2p5","HP18_perc97p5","HP19_mean","HP19_perc2p5","HP19_perc97p5","HP20_mean","HP20_perc2p5","HP20_perc97p5","HP21_mean","HP21_perc2p5","HP21_perc97p5","HP22_mean","HP22_perc2p5","HP22_perc97p5","HP23_mean","HP23_perc2p5","HP23_perc97p5","HP24_mean","HP24_perc2p5","HP24_perc97p5"
"1","COL",1,7e-05,6e-05,8.7e-05,2020-07-01,7e-05,6e-05,8.7e-05,7e-05,6e-05,8.7e-05,7e-05,6e-05,8.7e-05,7e-05,6e-05,8.7e-05,7e-05,6e-05,8.7e-05,7e-05,6e-05,8.7e-05,6.9e-05,5.8e-05,8.6e-05,6.9e-05,5.8e-05,8.6e-05,6.9e-05,5.8e-05,8.6e-05,6.9e-05,5.8e-05,8.6e-05,6.9e-05,5.8e-05,8.6e-05
"2","COL",2,0.000162,0.000115,0.000238,2020-07-08,0.000162,0.000115,0.000238,0.000162,0.000115,0.000238,0.000162,0.000115,0.000238,0.000162,0.000115,0.000238,0.000162,0.000115,0.000238,0.000162,0.000115,0.000238,0.000155,0.000112,0.000225,0.000155,0.000112,0.000225,0.000155,0.000112,0.000225,0.000155,0.000112,0.000225,0.000155,0.000112,0.000225
"3","COL",3,0.000354,0.000209,0.000614,2020-07-15,0.000354,0.000209,0.000614,0.000354,0.000209,0.000614,0.000354,0.000209,0.000614,0.000354,0.000209,0.000614,0.000354,0.000209,0.000614,0.000354,0.000209,0.000614,0.000322,0.000193,0.00054,0.000322,0.000193,0.00054,0.000322,0.000193,0.00054,0.000322,0.000193,0.00054,0.000322,0.000193,0.00054
"4","COL",4,0.00082,0.000391,0.001671,2020-07-22,0.00082,0.000391,0.001671,0.00082,0.000391,0.001671,0.00082,0.000391,0.001671,0.00082,0.000391,0.001671,0.00082,0.000391,0.001671,0.00082,0.000391,0.001671,0.000711,0.000349,0.001393,0.000711,0.000349,0.001393,0.000711,0.000349,0.001393,0.000711,0.000349,0.001393,0.000711,0.000349,0.001393
"5","COL",5,0.001897,0.000756,0.004482,2020-07-29,0.001897,0.000756,0.004482,0.001897,0.000756,0.004482,0.001897,0.000756,0.004482,0.001897,0.000756,0.004482,0.001897,0.000756,0.004482,0.001897,0.000756,0.004482,0.001574,0.000652,0.003547,0.001574,0.000652,0.003547,0.001574,0.000652,0.003547,0.001574,0.000652,0.003547,0.001574,0.000652,0.003547
"6","COL",6,0.004864,0.00163,0.013115,2020-08-05,0.004864,0.00163,0.013115,0.004864,0.00163,0.013115,0.004864,0.00163,0.013115,0.004864,0.00163,0.013115,0.004864,0.00163,0.013115,0.004864,0.00163,0.013115,0.003872,0.001365,0.009919,0.003872,0.001365,0.009919,0.003872,0.001365,0.009919,0.003872,0.001365,0.009919,0.003872,0.001365,0.009919
"7","COL",7,0.015547,0.004165,0.051205,2020-08-12,0.015547,0.004165,0.051205,0.015547,0.004165,0.051205,0.015547,0.004165,0.051205,0.015547,0.004165,0.051205,0.015547,0.004165,0.051205,0.015547,0.004165,0.051205,0.011895,0.003391,0.037062,0.011895,0.003391,0.037062,0.011895,0.003391,0.037062,0.011895,0.003391,0.037062,0.011895,0.003391,0.037062
"8","COL",8,0.066292,0.013961,0.25567,2020-08-19,0.066292,0.013961,0.25567,0.066292,0.013961,0.25567,0.066292,0.013961,0.25567,0.058379,0.012577,0.221723,0.066292,0.013961,0.25567,0.058379,0.012577,0.221723,0.048783,0.010961,0.178072,0.048783,0.010961,0.178072,0.042967,0.00987,0.154379,0.048783,0.010961,0.178072,0.042967,0.00987,0.154379
"9","COL",9,0.334169,0.05531,1.387925,2020-08-26,0.334169,0.05531,1.387925,0.334169,0.05531,1.387925,0.334169,0.05531,1.387925,0.24628,0.042284,1.012157,0.334169,0.05531,1.387925,0.24628,0.042284,1.012157,0.242054,0.042052,1.016927,0.242054,0.042052,1.016927,0.177082,0.032132,0.733599,0.242054,0.042052,1.016927,0.177082,0.032132,0.733599
"10","COL",10,1.332298,0.247214,4.079576,2020-09-02,1.332298,0.247214,4.079576,1.332298,0.247214,4.079576,1.332298,0.247214,4.079576,0.919838,0.160779,3.221232,1.332298,0.247214,4.079576,0.919838,0.160779,3.221232,1.029889,0.184221,3.552279,1.029889,0.184221,3.552279,0.689172,0.118949,2.653313,1.029889,0.184221,3.552279,0.689172,0.118949,2.653313
"11","COL",11,2.784653,0.968036,4.385784,2020-09-09,2.784653,0.968036,4.385784,2.784653,0.968036,4.385784,2.784653,0.968036,4.385784,2.097077,0.567559,4.009321,2.784653,0.968036,4.385784,2.097077,0.567559,4.009321,2.395647,0.730367,4.128304,2.395647,0.730367,4.128304,1.721873,0.418023,3.719512,2.395647,0.730367,4.128304,1.721873,0.418023,3.719512
"12","COL",12,3.483768,2.457914,4.222634,2020-09-16,3.483768,2.457914,4.222634,3.483768,2.457914,4.222634,3.483768,2.457914,4.222634,3.066336,1.651472,3.913802,3.483768,2.457914,4.222634,3.066336,1.651472,3.913802,3.258291,2.104944,3.974427,3.258291,2.104944,3.974427,2.76524,1.290724,3.700909,3.258291,2.104944,3.974427,2.76524,1.290724,3.700909
