"","Team","Scenario","Reduction","Rank","Output"
"93","NEU3","2009-8",59.1601358525728,1,"Averted Percent"
"94","UTA","2009-8",64.0498987968928,1,"Averted Percent"
"95","UVA","2009-8",39.5977639948886,1,"Averted Percent"
"96","IMP","2009-8",55.0069858487431,2,"Averted Percent"
"97","COL2","2009-8",25.4140721568174,2,"Averted Percent"
"98","ENS","2009-8",47.6058902448722,1,"Averted Percent"
"99","COL","2009-2",0.0971384995279195,7,"Magnitude Reduction"
"100","NEU3","2009-2",0.432182699992342,5,"Magnitude Reduction"
"101","UTA","2009-2",4.69101652970515,7,"Magnitude Reduction"
"102","UVA","2009-2",0,6,"Magnitude Reduction"
"103","IMP","2009-2",1.47700053432728,5,"Magnitude Reduction"
"104","COL2","2009-2",0.619178100797412,7,"Magnitude Reduction"
"105","ENS","2009-2",1.21941939405835,7,"Magnitude Reduction"
"106","COL","2009-3",11.0693195975352,5,"Magnitude Reduction"
"107","NEU3","2009-3",-1.46724909952814,7,"Magnitude Reduction"
"108","UTA","2009-3",18.0439213406779,6,"Magnitude Reduction"
"109","UVA","2009-3",0,6,"Magnitude Reduction"
"110","IMP","2009-3",-4.72208456803124,7,"Magnitude Reduction"
"111","COL2","2009-3",4.41277545736401,6,"Magnitude Reduction"
"112","ENS","2009-3",4.55611378800295,6,"Magnitude Reduction"
"113","COL","2009-4",11.2389453454527,4,"Magnitude Reduction"
"114","NEU3","2009-4",12.0082328855607,4,"Magnitude Reduction"
"115","UTA","2009-4",19.4353149169457,5,"Magnitude Reduction"
"116","UVA","2009-4",0,6,"Magnitude Reduction"
"117","IMP","2009-4",-1.69506541961655,6,"Magnitude Reduction"
"118","COL2","2009-4",5.56464378197957,5,"Magnitude Reduction"
"119","ENS","2009-4",7.75867858505368,5,"Magnitude Reduction"
"120","COL","2009-5",0.385271820198103,6,"Magnitude Reduction"
"121","NEU3","2009-5",50.6695569350018,3,"Magnitude Reduction"
"122","UTA","2009-5",58.2276689827834,4,"Magnitude Reduction"
"123","UVA","2009-5",56.9348286766065,2.5,"Magnitude Reduction"
"124","IMP","2009-5",70.7106117111059,2,"Magnitude Reduction"
"125","COL2","2009-5",42.9881397686817,3,"Magnitude Reduction"
"126","ENS","2009-5",46.6526796490629,3,"Magnitude Reduction"
"127","COL","2009-6",19.8783359497645,2,"Magnitude Reduction"
"128","NEU3","2009-6",0.0888976472777822,6,"Magnitude Reduction"
"129","UTA","2009-6",64.4344594414588,2,"Magnitude Reduction"
"130","UVA","2009-6",53.9333973325425,4,"Magnitude Reduction"
"131","IMP","2009-6",49.1657708976782,4,"Magnitude Reduction"
"132","COL2","2009-6",28.1198601634082,4,"Magnitude Reduction"
"133","ENS","2009-6",35.936786905355,4,"Magnitude Reduction"
"134","COL","2009-7",11.2802169868769,3,"Magnitude Reduction"
"135","NEU3","2009-7",51.7282709845524,2,"Magnitude Reduction"
"136","UTA","2009-7",62.2671168036103,3,"Magnitude Reduction"
"137","UVA","2009-7",56.9348286766065,2.5,"Magnitude Reduction"
"138","IMP","2009-7",73.5962087574003,1,"Magnitude Reduction"
"139","COL2","2009-7",44.3007307740475,2,"Magnitude Reduction"
"140","ENS","2009-7",50.0178954971823,2,"Magnitude Reduction"
"141","COL","2009-8",30.6920646714749,1,"Magnitude Reduction"
"142","NEU3","2009-8",71.9645723169223,1,"Magnitude Reduction"
"143","UTA","2009-8",71.3500562609236,1,"Magnitude Reduction"
"144","UVA","2009-8",71.6233668509899,1,"Magnitude Reduction"
"145","IMP","2009-8",63.1051390998266,3,"Magnitude Reduction"
"146","COL2","2009-8",55.4832129744251,1,"Magnitude Reduction"
"147","ENS","2009-8",60.7030686957604,1,"Magnitude Reduction"
"148","COL","2009-2",0,0,"Peak Delay"
"149","NEU3","2009-2",0,0,"Peak Delay"
"150","UTA","2009-2",0,0,"Peak Delay"
"151","UVA","2009-2",0,0,"Peak Delay"
"152","IMP","2009-2",0,0,"Peak Delay"
"153","COL2","2009-2",0,0,"Peak Delay"
"154","COL","2009-3",0,0,"Peak Delay"
"155","NEU3","2009-3",3,0,"Peak Delay"
"156","UTA","2009-3",0,0,"Peak Delay"
"157","UVA","2009-3",0,0,"Peak Delay"
"158","IMP","2009-3",1,0,"Peak Delay"
"159","COL2","2009-3",0,0,"Peak Delay"
"160","COL","2009-4",0,0,"Peak Delay"
"161","NEU3","2009-4",2,0,"Peak Delay"
"162","UTA","2009-4",0,0,"Peak Delay"
"163","UVA","2009-4",0,0,"Peak Delay"
"164","IMP","2009-4",1,0,"Peak Delay"
"165","COL2","2009-4",0,0,"Peak Delay"
"166","COL","2009-5",0,0,"Peak Delay"
"167","NEU3","2009-5",0,0,"Peak Delay"
"168","UTA","2009-5",-1,0,"Peak Delay"
"169","UVA","2009-5",0,0,"Peak Delay"
"170","IMP","2009-5",-4,0,"Peak Delay"
"171","COL2","2009-5",-2,0,"Peak Delay"
