"","Team","Scenario","Reduction","Rank","Output"
"1","COL","HP02",5431075.3,5,"Averted Number"
"2","NEU3","HP02",8212537.9,8,"Averted Number"
"3","UTA","HP02",27024260.8950857,3,"Averted Number"
"4","UVA","HP02",2973134.18700486,5,"Averted Number"
"5","IMP","HP02",9306141.46006578,7,"Averted Number"
"6","COL2","HP02",1217545.9159797,9,"Averted Number"
"7","ENS","HP02",9027449.27635602,6,"Averted Number"
"8","COL","HP03",0,11,"Averted Number"
"9","NEU3","HP03",67708.0999999986,11,"Averted Number"
"10","UTA","HP03",-1650107.7067467,11,"Averted Number"
"11","UVA","HP03",86292.0400743205,10,"Averted Number"
"12","IMP","HP03",141028.6058711,11,"Averted Number"
"13","COL2","HP03",8243.0920673005,11,"Averted Number"
"14","ENS","HP03",-224472.644788995,11,"Averted Number"
"15","COL","HP04",5967187.79999999,4,"Averted Number"
"16","NEU3","HP04",13026759.4,5,"Averted Number"
"17","UTA","HP04",715986.6971756,10,"Averted Number"
"18","UVA","HP04",676018.064194278,8,"Averted Number"
"19","IMP","HP04",2066440.3215738,9,"Averted Number"
"20","COL2","HP04",2830420.7329075,7,"Averted Number"
"21","ENS","HP04",4213802.16930855,9,"Averted Number"
"22","COL","HP05",7426207.90000001,3,"Averted Number"
"23","NEU3","HP05",24735128.4,2,"Averted Number"
"24","UTA","HP05",2030457.025276,9,"Averted Number"
"25","UVA","HP05",59225.8819036827,11,"Averted Number"
"26","IMP","HP05",19246505.8788539,5,"Averted Number"
"27","COL2","HP05",1590976.1757557,8,"Averted Number"
"28","ENS","HP05",9181416.8769649,5,"Averted Number"
"29","COL","HP06",831336.6,10,"Averted Number"
"30","NEU3","HP06",6325004.29999998,9,"Averted Number"
"31","UTA","HP06",6830116.440487,8,"Averted Number"
"32","UVA","HP06",1985314.47762348,6,"Averted Number"
"33","IMP","HP06",12858927.7147844,6,"Averted Number"
"34","COL2","HP06",3856393.73925881,6,"Averted Number"
"35","ENS","HP06",5447848.8786923,7,"Averted Number"
"36","COL","HP07",1552460.6,9,"Averted Number"
"37","NEU3","HP07",9435051.69999999,7,"Averted Number"
"38","UTA","HP07",9991545.80347481,7,"Averted Number"
"39","UVA","HP07",447026.134773724,9,"Averted Number"
"40","IMP","HP07",7203925.09670651,8,"Averted Number"
"41","COL2","HP07",3922452.15647251,5,"Averted Number"
"42","ENS","HP07",5425410.24857126,8,"Averted Number"
"43","COL","HP08",1580642.8,8,"Averted Number"
"44","NEU3","HP08",3062900.9,10,"Averted Number"
"45","UTA","HP08",14039941.4303888,6,"Averted Number"
"46","UVA","HP08",1899926.73047232,7,"Averted Number"
"47","IMP","HP08",1384088.9331966,10,"Averted Number"
"48","COL2","HP08",633650.883381402,10,"Averted Number"
"49","ENS","HP08",3766858.61290653,10,"Averted Number"
"50","COL","HP09",7519735.6,2,"Averted Number"
"51","NEU3","HP09",24062020.1,3,"Averted Number"
"52","UTA","HP09",34544439.8674656,2,"Averted Number"
"53","UVA","HP09",8194261.63011063,3,"Averted Number"
"54","IMP","HP09",32813304.4230476,3,"Averted Number"
"55","COL2","HP09",7217818.9378755,2,"Averted Number"
"56","ENS","HP09",19058596.7597499,2,"Averted Number"
"57","COL","HP10",9158058.8,1,"Averted Number"
"58","NEU3","HP10",32631202.9,1,"Averted Number"
"59","UTA","HP10",39226938.9016408,1,"Averted Number"
"60","UVA","HP10",10433901.161762,1,"Averted Number"
"61","IMP","HP10",43355552.517524,1,"Averted Number"
"62","COL2","HP10",11482132.2861566,1,"Averted Number"
"63","ENS","HP10",24381297.7611806,1,"Averted Number"
"64","COL","HP11",2344104.4,7,"Averted Number"
"65","NEU3","HP11",12664809.1,6,"Averted Number"
"66","UTA","HP11",21845327.7919339,5,"Averted Number"
"67","UVA","HP11",6700908.06236015,4,"Averted Number"
"68","IMP","HP11",21912082.0066563,4,"Averted Number"
"69","COL2","HP11",4869172.21472011,4,"Averted Number"
"70","ENS","HP11",11722733.9292784,4,"Averted Number"
"71","COL","HP12",3212089.39999999,6,"Averted Number"
"72","NEU3","HP12",22525251.2,4,"Averted Number"
"73","UTA","HP12",23327983.3049148,4,"Averted Number"
"74","UVA","HP12",8534407.52172822,2,"Averted Number"
"75","IMP","HP12",33796549.7860524,2,"Averted Number"
"76","COL2","HP12",5326033.8572093,3,"Averted Number"
"77","ENS","HP12",16120385.8449841,3,"Averted Number"
"78","COL","HP02",27.032117478132,5,"Averted Percent"
"79","NEU3","HP02",23.7709758826711,8,"Averted Percent"
"80","UTA","HP02",66.8426370198619,3,"Averted Percent"
"81","UVA","HP02",21.9392270304272,5,"Averted Percent"
"82","IMP","HP02",20.0804152345223,7,"Averted Percent"
"83","COL2","HP02",5.47005364725717,9,"Averted Percent"
"84","ENS","HP02",30.5628612513356,6,"Averted Percent"
"85","COL","HP03",0,11,"Averted Percent"
"86","NEU3","HP03",0.195979322319042,11,"Averted Percent"
"87","UTA","HP03",-4.08142708930861,11,"Averted Percent"
"88","UVA","HP03",0.636762601023546,10,"Averted Percent"
"89","IMP","HP03",0.304305815464947,11,"Averted Percent"
"90","COL2","HP03",0.0370336389253393,11,"Averted Percent"
"91","ENS","HP03",-0.759962874050695,11,"Averted Percent"
"92","COL","HP04",29.7005128291401,4,"Averted Percent"
"93","NEU3","HP04",37.7056139402119,5,"Averted Percent"
"94","UTA","HP04",1.77094349022738,10,"Averted Percent"
"95","UVA","HP04",4.98844413139969,8,"Averted Percent"
"96","IMP","HP04",4.45888125520374,9,"Averted Percent"
"97","COL2","HP04",12.7161966132956,7,"Averted Percent"
"98","ENS","HP04",14.2660287639012,9,"Averted Percent"
"99","COL","HP05",36.9625006616705,3,"Averted Percent"
"100","NEU3","HP05",71.5951813934609,2,"Averted Percent"
"101","UTA","HP05",5.02219477719862,9,"Averted Percent"
"102","UVA","HP05",0.437037142434245,11,"Averted Percent"
"103","IMP","HP05",41.5293310895286,5,"Averted Percent"
"104","COL2","HP05",7.14775920864476,8,"Averted Percent"
"105","ENS","HP05",31.0841259265008,5,"Averted Percent"
"106","COL","HP06",4.137815698315,10,"Averted Percent"
"107","NEU3","HP06",18.3075593079565,9,"Averted Percent"
"108","UTA","HP06",16.8938198090696,8,"Averted Percent"
"109","UVA","HP06",14.6499492830676,6,"Averted Percent"
"110","IMP","HP06",27.7464735617454,6,"Averted Percent"
"111","COL2","HP06",17.3255729922255,6,"Averted Percent"
"112","ENS","HP06",18.4439529152277,7,"Averted Percent"
"113","COL","HP07",7.72706968717067,9,"Averted Percent"
"114","NEU3","HP07",27.309510061738,7,"Averted Percent"
"115","UTA","HP07",24.7133963071841,7,"Averted Percent"
"116","UVA","HP07",3.29867649506095,9,"Averted Percent"
"117","IMP","HP07",15.5443378849348,8,"Averted Percent"
"118","COL2","HP07",17.6223528354079,5,"Averted Percent"
"119","ENS","HP07",18.3679858598541,8,"Averted Percent"
"120","COL","HP08",7.86734108815681,8,"Averted Percent"
"121","NEU3","HP08",8.86548644419791,10,"Averted Percent"
"122","UTA","HP08",34.7268224080185,6,"Averted Percent"
"123","UVA","HP08",14.0198596024356,7,"Averted Percent"
"124","IMP","HP08",2.9865310579427,10,"Averted Percent"
"125","COL2","HP08",2.8467955748011,10,"Averted Percent"
"126","ENS","HP08",12.7528799791974,10,"Averted Percent"
"127","COL","HP09",37.4280165372945,2,"Averted Percent"
"128","NEU3","HP09",69.6468870463839,3,"Averted Percent"
"129","UTA","HP09",85.443278692419,2,"Averted Percent"
"130","UVA","HP09",60.4667515632122,3,"Averted Percent"
"131","IMP","HP09",70.8032196651055,3,"Averted Percent"
"132","COL2","HP09",32.4274068749174,2,"Averted Percent"
"133","ENS","HP09",64.5237907831828,2,"Averted Percent"
"134","COL","HP10",45.5824505606175,1,"Averted Percent"
"135","NEU3","HP10",94.4501622523346,1,"Averted Percent"
"136","UTA","HP10",97.0251156389436,1,"Averted Percent"
"137","UVA","HP10",76.9934056126609,1,"Averted Percent"
"138","IMP","HP10",93.5508557450905,1,"Averted Percent"
"139","COL2","HP10",51.5856353061163,1,"Averted Percent"
"140","ENS","HP10",82.5440495749039,1,"Averted Percent"
"141","COL","HP11",11.6673222191941,7,"Averted Percent"
"142","NEU3","HP11",36.6579582755695,6,"Averted Percent"
"143","UTA","HP11",54.0329047978393,5,"Averted Percent"
"144","UVA","HP11",49.4470595820098,4,"Averted Percent"
"145","IMP","HP11",47.2810033282529,4,"Averted Percent"
"146","COL2","HP11",21.8756704635828,4,"Averted Percent"
"147","ENS","HP11",39.6878763423507,4,"Averted Percent"
"148","COL","HP12",15.9875481768891,6,"Averted Percent"
"149","NEU3","HP12",65.1987497100389,4,"Averted Percent"
"150","UTA","HP12",57.7001504873487,4,"Averted Percent"
"151","UVA","HP12",62.9767418530158,2,"Averted Percent"
"152","IMP","HP12",72.9248266975453,2,"Averted Percent"
"153","COL2","HP12",23.928207177797,3,"Averted Percent"
"154","ENS","HP12",54.5763372150588,3,"Averted Percent"
"155","COL","HP02",0.124446571502814,10,"Magnitude Reduction"
"156","NEU3","HP02",5.15742387269607,9,"Magnitude Reduction"
"157","UTA","HP02",57.3076721895736,5,"Magnitude Reduction"
"158","UVA","HP02",8.38038688459881,9,"Magnitude Reduction"
"159","IMP","HP02",14.6475066231785,9,"Magnitude Reduction"
"160","COL2","HP02",0.149227476564572,10,"Magnitude Reduction"
"161","ENS","HP02",14.2944439363524,9,"Magnitude Reduction"
"162","COL","HP03",0,11,"Magnitude Reduction"
"163","NEU3","HP03",0.0717859840107821,11,"Magnitude Reduction"
"164","UTA","HP03",-5.98685449437083,11,"Magnitude Reduction"
"165","UVA","HP03",0,11,"Magnitude Reduction"
"166","IMP","HP03",0,11,"Magnitude Reduction"
"167","COL2","HP03",0,11,"Magnitude Reduction"
"168","ENS","HP03",-0.985844751726674,11,"Magnitude Reduction"
"169","COL","HP04",1.44475865271685,8,"Magnitude Reduction"
"170","NEU3","HP04",24.3388706851332,7,"Magnitude Reduction"
"171","UTA","HP04",20.1817959155998,9,"Magnitude Reduction"
