"","team","Hosp"
"1","ENS","295 (243, 337)"
"2","UVA","136 (110, 157)"
"3","UTA","404 (207, 532)"
"4","NEU3","345 (344, 350)"
"5","IMP","463 (437, 491)"
"6","COL2","223 (211, 234)"
"7","COL","201 (151, 256)"
