"","Agegroup","Bin_cml","Cml","team"
"1","0-4 years","sm.mean",11.381453,"COL"
"2","5-17 years","sm.mean",14.160723,"COL"
"3","18-49 years","sm.mean",32.777133,"COL"
"4","50-64 years","sm.mean",20.931081,"COL"
"5","65+ years","sm.mean",5.460903,"COL"
"6","0-4 years","sm.mean",22.200061,"NEU"
"7","5-17 years","sm.mean",33.481064,"NEU"
"8","18-49 years","sm.mean",29.732076,"NEU"
"9","50-64 years","sm.mean",26.687658,"NEU"
"10","65+ years","sm.mean",16.145417,"NEU"
"11","0-4 yr","sm.mean",36.1645300416655,"UTA"
"12","5-17 yr","sm.mean",39.4271235459884,"UTA"
"13","18-49 yr","sm.mean",39.1668817268442,"UTA"
"14","50-64 yr","sm.mean",38.7880110109658,"UTA"
"15","65+ yr","sm.mean",15.0066132214188,"UTA"
"16","0-4 years","sm.mean",18.4629275501144,"UVA"
"17","5-17 years","sm.mean",44.323012196832,"UVA"
"18","18-49 years","sm.mean",21.5614641599639,"UVA"
"19","50-64 years","sm.mean",18.3864446111484,"UVA"
"20","65+ years","sm.mean",6.39272367140455,"UVA"
"21","0-4 years","sm.mean",23.7876695554298,"IMP"
"22","5-17 years","sm.mean",33.2866125003988,"IMP"
"23","18-49 years","sm.mean",24.8360261142049,"IMP"
"24","50-64 years","sm.mean",20.9881704946732,"IMP"
"25","65+ years","sm.mean",17.0243720630433,"IMP"
"26","0-4 years","sm.mean",32.7851564133595,"COL2"
"27","5-17 years","sm.mean",42.051566095182,"COL2"
"28","18-49 years","sm.mean",31.5113971203572,"COL2"
"29","50-64 years","sm.mean",15.831929925479,"COL2"
"30","65+ years","sm.mean",5.98881456473888,"COL2"
