"","team","week","HP01_mean","HP01_perc2p5","HP01_perc97p5","Date","HP02_mean","HP02_perc2p5","HP02_perc97p5","HP03_mean","HP03_perc2p5","HP03_perc97p5","HP04_mean","HP04_perc2p5","HP04_perc97p5","HP05_mean","HP05_perc2p5","HP05_perc97p5","HP06_mean","HP06_perc2p5","HP06_perc97p5","HP07_mean","HP07_perc2p5","HP07_perc97p5","HP08_mean","HP08_perc2p5","HP08_perc97p5","HP09_mean","HP09_perc2p5","HP09_perc97p5","HP10_mean","HP10_perc2p5","HP10_perc97p5","HP11_mean","HP11_perc2p5","HP11_perc97p5","HP12_mean","HP12_perc2p5","HP12_perc97p5"
"24","COL",24,1.211278,0.721351,1.422844,2021-02-09,0.461312,0.260936,0.584544,1.211278,0.721351,1.422844,0.452289,0.259157,0.574618,0.485079,0.328095,0.604167,1.149501,0.684309,1.367425,1.261305,0.831757,1.485203,1.199818,0.782906,1.41301,0.415977,0.270214,0.533146,0.438808,0.30574,0.562125,1.114474,0.717297,1.328732,1.2011,0.874588,1.425552
"25","COL",25,0.973679,0.479059,1.205465,2021-02-16,0.319074,0.146826,0.421441,0.973679,0.479059,1.205465,0.318574,0.14849,0.417914,0.350761,0.201376,0.450525,0.935852,0.473665,1.163323,1.058362,0.588491,1.261833,0.988525,0.56033,1.18303,0.296526,0.165771,0.389932,0.320045,0.217771,0.409956,0.930984,0.522089,1.120017,1.037595,0.662153,1.240129
"26","COL",26,0.768914,0.30163,1.019279,2021-02-23,0.216913,0.080659,0.307766,0.768914,0.30163,1.019279,0.219774,0.08318,0.306633,0.248556,0.115289,0.329793,0.747082,0.321955,0.992968,0.867985,0.406719,1.083177,0.798541,0.384986,1.004009,0.206831,0.093926,0.281481,0.228879,0.137646,0.3043,0.760789,0.36436,0.960062,0.876343,0.473468,1.057566
"27","COL",27,0.580888,0.180899,0.840342,2021-03-02,0.139737,0.041922,0.211011,0.580888,0.180899,0.840342,0.143256,0.044091,0.212509,0.166503,0.062433,0.229414,0.56967,0.207379,0.816957,0.677328,0.273663,0.903726,0.616823,0.252784,0.828373,0.136227,0.050094,0.195437,0.154771,0.075439,0.211103,0.591784,0.245846,0.797959,0.702053,0.328386,0.885966
"28","COL",28,0.432128,0.106665,0.689856,2021-03-09,0.087558,0.02129,0.139932,0.432128,0.106665,0.689856,0.090574,0.022866,0.143151,0.107957,0.033064,0.159095,0.42836,0.131256,0.673801,0.518746,0.182952,0.752718,0.469038,0.159468,0.683107,0.086771,0.026025,0.133289,0.101057,0.039998,0.143382,0.45182,0.165489,0.654313,0.54842,0.226056,0.733834
"29","COL",29,0.311036,0.059941,0.561761,2021-03-16,0.053383,0.010277,0.091096,0.311036,0.059941,0.561761,0.055654,0.011301,0.093824,0.068003,0.016804,0.10718,0.314003,0.078861,0.542961,0.387582,0.116167,0.622203,0.346674,0.095179,0.556721,0.053679,0.012961,0.086681,0.064064,0.020398,0.095236,0.336937,0.106387,0.536077,0.417952,0.147259,0.605811
"30","COL",30,0.21683,0.03284,0.439124,2021-03-23,0.030898,0.004741,0.056598,0.21683,0.03284,0.439124,0.032417,0.005342,0.058212,0.04057,0.008149,0.067067,0.228331,0.048061,0.438038,0.286741,0.074227,0.506547,0.248195,0.055248,0.43786,0.031413,0.006123,0.053072,0.038402,0.009834,0.060656,0.248406,0.068726,0.431841,0.31393,0.097656,0.501597
"31","COL",31,0.147287,0.0175,0.338148,2021-03-30,0.017126,0.002082,0.033661,0.147287,0.0175,0.338148,0.01808,0.00241,0.034871,0.023178,0.003783,0.040555,0.163786,0.028913,0.345087,0.209262,0.046735,0.40673,0.173146,0.031111,0.340538,0.017563,0.002745,0.031762,0.022002,0.004493,0.037195,0.180579,0.04377,0.34209,0.232211,0.06452,0.40445
"32","COL",32,0.099408,0.009203,0.25754,2021-04-06,0.009369,0.000891,0.019737,0.099408,0.009203,0.25754,0.009947,0.00106,0.020544,0.013049,0.001715,0.024834,0.117377,0.017271,0.270071,0.152668,0.029156,0.326283,0.12023,0.017286,0.264903,0.009682,0.001207,0.018704,0.012414,0.002012,0.02193,0.131571,0.02771,0.272156,0.17209,0.042474,0.324011
"33","COL",33,0.065682,0.00475,0.189319,2021-04-13,0.004869,0.000363,0.011097,0.065682,0.00475,0.189319,0.005192,0.000449,0.011614,0.006956,0.000749,0.013992,0.082632,0.010191,0.203402,0.10925,0.017792,0.25038,0.081567,0.009422,0.199242,0.005041,0.000503,0.01035,0.006604,0.000857,0.012405,0.094108,0.01732,0.208281,0.1249,0.02754,0.25085
