"","Team","Scenario","Reduction","Rank","Output"
"1","COL","HP14",3447309.112,5,"Averted Number"
"2","NEU3","HP14",52922.9999999911,10,"Averted Number"
"3","UTA","HP14",12772132.5393603,7,"Averted Number"
"4","UVA","HP14",495521.238971352,9,"Averted Number"
"5","IMP","HP14",303063.17533516,10.5,"Averted Number"
"6","COL2","HP14",23830.9936381238,10,"Averted Number"
"7","ENS","HP14",2849130.00988417,10,"Averted Number"
"8","COL","HP15",0,11,"Averted Number"
"9","NEU3","HP15",4457.80399999364,11,"Averted Number"
"10","UTA","HP15",-881105.76878966,11,"Averted Number"
"11","UVA","HP15",543.964131014036,10,"Averted Number"
"12","IMP","HP15",303063.17533516,10.5,"Averted Number"
"13","COL2","HP15",88.3319636610053,11,"Averted Number"
"14","ENS","HP15",-95492.0822266386,11,"Averted Number"
"15","COL","HP16",2333275.36,10,"Averted Number"
"16","NEU3","HP16",15210208.26,6,"Averted Number"
"17","UTA","HP16",9173388.21485572,8,"Averted Number"
"18","UVA","HP16",9998222.728494,7,"Averted Number"
"19","IMP","HP16",18995856.9301742,7,"Averted Number"
"20","COL2","HP16",8928987.36789644,6,"Averted Number"
"21","ENS","HP16",10773323.1435701,7,"Averted Number"
"22","COL","HP17",2981264.572,7,"Averted Number"
"23","NEU3","HP17",16329969.968,5,"Averted Number"
"24","UTA","HP17",7758716.23953363,9,"Averted Number"
"25","UVA","HP17",7382598.69940578,8,"Averted Number"
"26","IMP","HP17",19397742.7078495,5.5,"Averted Number"
"27","COL2","HP17",8655958.76838658,8,"Averted Number"
"28","ENS","HP17",10417708.4925292,8,"Averted Number"
"29","COL","HP18",2451200.076,9,"Averted Number"
"30","NEU3","HP18",14857799.372,8,"Averted Number"
"31","UTA","HP18",16099243.0761674,5,"Averted Number"
"32","UVA","HP18",13156730.5836695,5,"Averted Number"
"33","IMP","HP18",13023115.7914509,8,"Averted Number"
"34","COL2","HP18",8966215.70520042,5,"Averted Number"
"35","ENS","HP18",11425717.4340814,6,"Averted Number"
"36","COL","HP19",3127660.328,6,"Averted Number"
"37","NEU3","HP19",15102374.196,7,"Averted Number"
"38","UTA","HP19",16050075.9653259,6,"Averted Number"
"39","UVA","HP19",12885190.1797349,6,"Averted Number"
"40","IMP","HP19",19397742.7078495,5.5,"Averted Number"
"41","COL2","HP19",8690062.7699894,7,"Averted Number"
"42","ENS","HP19",12542184.3578166,5,"Averted Number"
"43","COL","HP20",2770689.32399999,8,"Averted Number"
"44","NEU3","HP20",6856301.97199999,9,"Averted Number"
"45","UTA","HP20",5763473.56278876,10,"Averted Number"
"46","UVA","HP20",0,11,"Averted Number"
"47","IMP","HP20",1927967.35426523,9,"Averted Number"
"48","COL2","HP20",1510931.64815069,9,"Averted Number"
"49","ENS","HP20",3138227.31020078,9,"Averted Number"
"50","COL","HP21",10220594.072,2,"Averted Number"
"51","NEU3","HP21",24133133.44,2,"Averted Number"
"52","UTA","HP21",50546208.5349386,2,"Averted Number"
"53","UVA","HP21",18564091.6357498,2,"Averted Number"
"54","IMP","HP21",27424148.5025316,2,"Averted Number"
"55","COL2","HP21",11438628.5990604,1,"Averted Number"
"56","ENS","HP21",23721134.1307135,2,"Averted Number"
"57","COL","HP22",11703579.368,1,"Averted Number"
"58","NEU3","HP22",28545343.8919999,1,"Averted Number"
"59","UTA","HP22",65060307.2312143,1,"Averted Number"
"60","UVA","HP22",24360512.7419116,1,"Averted Number"
"61","IMP","HP22",27455849.4515784,1,"Averted Number"
"62","COL2","HP22",11263078.7331436,3,"Averted Number"
"63","ENS","HP22",28064778.5696413,1,"Averted Number"
"64","COL","HP23",5383935.02399999,4,"Averted Number"
"65","NEU3","HP23",22520193.8,4,"Averted Number"
"66","UTA","HP23",23510356.7901935,4,"Averted Number"
"67","UVA","HP23",14243024.8231504,4,"Averted Number"
"68","IMP","HP23",22410896.9791411,4,"Averted Number"
"69","COL2","HP23",11303591.9941543,2,"Averted Number"
"70","ENS","HP23",16561999.9017732,4,"Averted Number"
"71","COL","HP24",6049037.54,3,"Averted Number"
"72","NEU3","HP24",22898496.608,3,"Averted Number"
"73","UTA","HP24",27286977.5171518,3,"Averted Number"
"74","UVA","HP24",15731777.2468239,3,"Averted Number"
"75","IMP","HP24",22645379.0728251,3,"Averted Number"
"76","COL2","HP24",11129933.0023588,4,"Averted Number"
"77","ENS","HP24",17623600.1645266,3,"Averted Number"
"78","COL","HP14",3.53358181708286,5,"Averted Percent"
"79","NEU3","HP14",0.0488197147649358,10,"Averted Percent"
"80","UTA","HP14",9.27574504924862,7,"Averted Percent"
"81","UVA","HP14",0.546800943374046,9,"Averted Percent"
"82","IMP","HP14",0.332541465157375,10.5,"Averted Percent"
"83","COL2","HP14",0.0233162211714805,10,"Averted Percent"
"84","ENS","HP14",2.72373622785195,10,"Averted Percent"
