"","team","week","RL01_mean","RL01_perc2p5","RL01_perc97p5","Date","RL02_mean","RL02_perc2p5","RL02_perc97p5","RL03_mean","RL03_perc2p5","RL03_perc97p5","RL04_mean","RL04_perc2p5","RL04_perc97p5","RL05_mean","RL05_perc2p5","RL05_perc97p5","RL06_mean","RL06_perc2p5","RL06_perc97p5","RL07_mean","RL07_perc2p5","RL07_perc97p5","RL08_mean","RL08_perc2p5","RL08_perc97p5"
"29","COL",29,0.218209,0.095331,0.367061,2021-01-13,0.0437,0.015574,0.092953,0.267188,0.149083,0.423869,0.046176,0.02046,0.093006,0.242618,0.109821,0.39155,0.40691,0.219838,0.56401,0.047805,0.021185,0.097238,0.092809,0.051858,0.153214
"30","COL",30,0.170626,0.068857,0.289482,2021-01-20,0.031967,0.010136,0.0724,0.217265,0.114388,0.347301,0.034255,0.013842,0.073531,0.192048,0.082073,0.315579,0.329589,0.165051,0.458531,0.035834,0.014304,0.077535,0.072089,0.038203,0.126181
"31","COL",31,0.131193,0.049151,0.227975,2021-01-27,0.023182,0.006695,0.055825,0.173407,0.086328,0.277433,0.025175,0.009262,0.05751,0.149223,0.06041,0.251308,0.260977,0.12083,0.385477,0.026571,0.009703,0.06108,0.055257,0.027988,0.102405
"32","COL",32,0.099738,0.034886,0.179056,2021-02-03,0.016728,0.004387,0.042882,0.136568,0.062045,0.220503,0.018407,0.006121,0.044863,0.114458,0.043624,0.196983,0.203036,0.087667,0.305493,0.019582,0.00652,0.047707,0.042059,0.020256,0.082558
"33","COL",33,0.073448,0.024112,0.131748,2021-02-10,0.011738,0.002714,0.031861,0.103959,0.043244,0.16984,0.013088,0.003937,0.033713,0.084973,0.030583,0.150106,0.152412,0.061995,0.236151,0.014026,0.004203,0.035995,0.031125,0.014024,0.064301
"34","COL",34,0.054232,0.016633,0.099833,2021-02-17,0.008269,0.00167,0.023779,0.07915,0.030144,0.133311,0.00933,0.002524,0.025457,0.063165,0.021377,0.113789,0.114095,0.043895,0.181933,0.010062,0.002739,0.027262,0.023006,0.009612,0.049294
"35","COL",35,0.039088,0.011221,0.070801,2021-02-24,0.005683,0.000986,0.01725,0.058722,0.020542,0.098699,0.006491,0.00158,0.018698,0.045823,0.014438,0.081266,0.083197,0.029491,0.136695,0.007044,0.001731,0.020103,0.016633,0.006407,0.037273
"36","COL",36,0.027942,0.007509,0.050368,2021-03-03,0.003867,0.000578,0.012371,0.043128,0.013891,0.071116,0.004465,0.000968,0.013576,0.032949,0.009664,0.057476,0.059999,0.019507,0.101662,0.004874,0.001077,0.014644,0.01188,0.0042,0.02785
"37","COL",37,0.019904,0.005004,0.036774,2021-03-10,0.002613,0.000333,0.008809,0.031515,0.009362,0.053322,0.003048,0.000584,0.00978,0.023588,0.006441,0.042098,0.043003,0.012853,0.075144,0.003344,0.000658,0.01058,0.008379,0.002729,0.020568
"38","COL",38,0.013777,0.003213,0.026437,2021-03-17,0.001708,0.000183,0.006034,0.022353,0.006101,0.038454,0.002011,0.000332,0.006787,0.016413,0.00417,0.029998,0.02995,0.008153,0.055521,0.002218,0.000387,0.007365,0.005743,0.001731,0.014699
