"","team","Deaths"
"1","ENS","32 (25, 38)"
"2","UVA","28 (21, 33)"
"3","UTA","44 (21, 60)"
"4","NEU3","43 (42, 43)"
"5","IMP","36 (33, 41)"
"6","COL2","21 (19, 22)"
"7","COL","20 (15, 27)"
