"","Team","Scenario","Reduction","Rank","Output"
"1","COL","2009-2",3604704,4,"Averted Number"
"2","NEU3","2009-2",618531.200000001,5,"Averted Number"
"3","UTA","2009-2",1845696.02508151,7,"Averted Number"
"4","UVA","2009-2",517349.950654826,7,"Averted Number"
"5","IMP","2009-2",1142504.5446266,6,"Averted Number"
"6","COL2","2009-2",827187.8819452,5,"Averted Number"
"7","ENS","2009-2",1425995.60038468,6,"Averted Number"
"8","COL","2009-3",1204304.5,5,"Averted Number"
"9","NEU3","2009-3",312937.300000002,6,"Averted Number"
"10","UTA","2009-3",3719233.84955595,4,"Averted Number"
"11","UVA","2009-3",1902008.17167233,4,"Averted Number"
"12","IMP","2009-3",427272.611582101,7,"Averted Number"
"13","COL2","2009-3",341482.3720732,6,"Averted Number"
"14","ENS","2009-3",1317873.13414726,7,"Averted Number"
"15","COL","2009-4",5159865.30000001,3,"Averted Number"
"16","NEU3","2009-4",1987986.6,4,"Averted Number"
"17","UTA","2009-4",4875759.90858516,3,"Averted Number"
"18","UVA","2009-4",2347131.049394,3,"Averted Number"
"19","IMP","2009-4",1788763.4013551,5,"Averted Number"
"20","COL2","2009-4",1294634.2088832,3,"Averted Number"
"21","ENS","2009-4",2909023.41136958,4,"Averted Number"
"22","COL","2009-5",417454.000000001,7,"Averted Number"
"23","NEU3","2009-5",5207085.4,3,"Averted Number"
"24","UTA","2009-5",3633978.39812801,5,"Averted Number"
"25","UVA","2009-5",1788742.89413638,5,"Averted Number"
"26","IMP","2009-5",8508076.0997215,4,"Averted Number"
"27","COL2","2009-5",884478.6863877,4,"Averted Number"
"28","ENS","2009-5",3406635.91306225,3,"Averted Number"
"29","COL","2009-6",804063.399999998,6,"Averted Number"
"30","NEU3","2009-6",25523.6999999993,7,"Averted Number"
"31","UTA","2009-6",3532473.18689058,6,"Averted Number"
"32","UVA","2009-6",929189.65104067,6,"Averted Number"
"33","IMP","2009-6",10476861.8130436,3,"Averted Number"
"34","COL2","2009-6",-932205.2579375,7,"Averted Number"
"35","ENS","2009-6",2472651.08217289,5,"Averted Number"
"36","COL","2009-7",5515032.39999999,2,"Averted Number"
"37","NEU3","2009-7",6731714.40000001,2,"Averted Number"
"38","UTA","2009-7",7234661.24437174,2,"Averted Number"
"39","UVA","2009-7",5670526.97796024,2,"Averted Number"
"40","IMP","2009-7",16166043.3548498,1,"Averted Number"
"41","COL2","2009-7",3893238.51943375,1,"Averted Number"
"42","ENS","2009-7",7535202.81610257,2,"Averted Number"
"43","COL","2009-8",7536157.7,1,"Averted Number"
"44","NEU3","2009-8",10286920.3,1,"Averted Number"
"45","UTA","2009-8",7436850.01470364,1,"Averted Number"
"46","UVA","2009-8",6413696.9339819,1,"Averted Number"
"47","IMP","2009-8",15250817.0121453,2,"Averted Number"
"48","COL2","2009-8",3383939.59479731,2,"Averted Number"
"49","ENS","2009-8",8384730.25927133,1,"Averted Number"
"50","COL","2009-2",22.7159171301425,4,"Averted Percent"
"51","NEU3","2009-2",3.3938312357716,5,"Averted Percent"
"52","UTA","2009-2",19.1342290687299,7,"Averted Percent"
"53","UVA","2009-2",3.81764134190073,7,"Averted Percent"
"54","IMP","2009-2",4.04001853495734,6,"Averted Percent"
"55","COL2","2009-2",6.43329644993816,5,"Averted Percent"
"56","ENS","2009-2",8.69253397050875,6,"Averted Percent"
"57","COL","2009-3",7.5892170956222,5,"Averted Percent"
"58","NEU3","2009-3",1.71706194219149,6,"Averted Percent"
"59","UTA","2009-3",38.5570925388079,4,"Averted Percent"
"60","UVA","2009-3",14.0353449722351,4,"Averted Percent"
"61","IMP","2009-3",1.51088175394128,7,"Averted Percent"
"62","COL2","2009-3",2.65581421092496,6,"Averted Percent"
"63","ENS","2009-3",8.03344483272287,7,"Averted Percent"
"64","COL","2009-4",32.516143505125,3,"Averted Percent"
"65","NEU3","2009-4",10.9079235119835,4,"Averted Percent"
"66","UTA","2009-4",50.5467345148982,3,"Averted Percent"
"67","UVA","2009-4",17.3200065404158,3,"Averted Percent"
"68","IMP","2009-4",6.32525912489023,5,"Averted Percent"
"69","COL2","2009-4",10.0687713659332,3,"Averted Percent"
"70","ENS","2009-4",17.7327228902486,4,"Averted Percent"
"71","COL","2009-5",2.63068769853129,7,"Averted Percent"
"72","NEU3","2009-5",28.5708612238966,3,"Averted Percent"
"73","UTA","2009-5",37.6732539679857,5,"Averted Percent"
"74","UVA","2009-5",13.1995350807375,5,"Averted Percent"
"75","IMP","2009-5",30.0854690700039,4,"Averted Percent"
"76","COL2","2009-5",6.87886478680417,4,"Averted Percent"
"77","ENS","2009-5",20.7660517265694,3,"Averted Percent"
"78","COL","2009-6",5.06700066407133,6,"Averted Percent"
"79","NEU3","2009-6",0.140046500988893,7,"Averted Percent"
"80","UTA","2009-6",36.6209550319239,6,"Averted Percent"
"81","UVA","2009-6",6.85669887817565,6,"Averted Percent"
"82","IMP","2009-6",37.0473063866161,3,"Averted Percent"
"83","COL2","2009-6",-7.25004912112616,7,"Averted Percent"
"84","ENS","2009-6",15.0726997497081,5,"Averted Percent"
"85","COL","2009-7",34.7543151860599,2,"Averted Percent"
"86","NEU3","2009-7",36.9363786354083,2,"Averted Percent"
"87","UTA","2009-7",75.0013347828269,2,"Averted Percent"
"88","UVA","2009-7",41.8440906276763,2,"Averted Percent"
"89","IMP","2009-7",57.1648621422881,1,"Averted Percent"
"90","COL2","2009-7",30.2789222285717,1,"Averted Percent"
"91","ENS","2009-7",45.9328250633979,2,"Averted Percent"
"92","COL","2009-8",47.4909267981186,1,"Averted Percent"
"93","NEU3","2009-8",56.4435091294229,1,"Averted Percent"
"94","UTA","2009-8",77.0974146324243,1,"Averted Percent"
"95","UVA","2009-8",47.3281084469025,1,"Averted Percent"
"96","IMP","2009-8",53.9285236912968,2,"Averted Percent"
"97","COL2","2009-8",26.3179466928614,2,"Averted Percent"
"98","ENS","2009-8",51.1113446581511,1,"Averted Percent"
"99","COL","2009-2",0.0640738552803298,7,"Magnitude Reduction"
"100","NEU3","2009-2",0.461462006802959,5,"Magnitude Reduction"
"101","UTA","2009-2",5.40461437768716,7,"Magnitude Reduction"
"102","UVA","2009-2",0.147182590889645,7,"Magnitude Reduction"
"103","IMP","2009-2",1.47586783921035,5,"Magnitude Reduction"
"104","COL2","2009-2",0.713738001942235,7,"Magnitude Reduction"
"105","ENS","2009-2",1.37782311196878,7,"Magnitude Reduction"
"106","COL","2009-3",12.0377623464986,5,"Magnitude Reduction"
"107","NEU3","2009-3",-1.62631484785517,7,"Magnitude Reduction"
"108","UTA","2009-3",42.6660817166869,6,"Magnitude Reduction"
"109","UVA","2009-3",14.1593927858522,5,"Magnitude Reduction"
"110","IMP","2009-3",-4.74646443747865,7,"Magnitude Reduction"
"111","COL2","2009-3",4.4878259248001,6,"Magnitude Reduction"
"112","ENS","2009-3",11.163047248084,6,"Magnitude Reduction"
"113","COL","2009-4",12.1400863297926,4,"Magnitude Reduction"
"114","NEU3","2009-4",12.3868032043942,4,"Magnitude Reduction"
"115","UTA","2009-4",43.9730327325782,5,"Magnitude Reduction"
"116","UVA","2009-4",14.1301460704154,6,"Magnitude Reduction"
"117","IMP","2009-4",-1.55686310585876,6,"Magnitude Reduction"
"118","COL2","2009-4",6.04494942017754,5,"Magnitude Reduction"
"119","ENS","2009-4",14.5196924419165,5,"Magnitude Reduction"
"120","COL","2009-5",0.227189385085896,6,"Magnitude Reduction"
"121","NEU3","2009-5",47.2545168565151,3,"Magnitude Reduction"
"122","UTA","2009-5",60.0867452762052,4,"Magnitude Reduction"
"123","UVA","2009-5",54.6869826793506,4,"Magnitude Reduction"
"124","IMP","2009-5",70.1671868835302,2,"Magnitude Reduction"
"125","COL2","2009-5",43.6990479839595,3,"Magnitude Reduction"
"126","ENS","2009-5",46.0202781774411,3,"Magnitude Reduction"
"127","COL","2009-6",20.1660051208364,2,"Magnitude Reduction"
"128","NEU3","2009-6",0.100563545794091,6,"Magnitude Reduction"
"129","UTA","2009-6",64.5280513988813,3,"Magnitude Reduction"
"130","UVA","2009-6",55.8905703406508,3,"Magnitude Reduction"
"131","IMP","2009-6",47.6126502604971,4,"Magnitude Reduction"
"132","COL2","2009-6",24.9357444318514,4,"Magnitude Reduction"
"133","ENS","2009-6",35.5389308497518,4,"Magnitude Reduction"
"134","COL","2009-7",12.1642725255323,3,"Magnitude Reduction"
"135","NEU3","2009-7",48.8648863464878,2,"Magnitude Reduction"
"136","UTA","2009-7",75.2880079044523,2,"Magnitude Reduction"
"137","UVA","2009-7",61.1254900924803,2,"Magnitude Reduction"
"138","IMP","2009-7",73.452050788984,1,"Magnitude Reduction"
"139","COL2","2009-7",45.3225400546244,2,"Magnitude Reduction"
"140","ENS","2009-7",52.7028746187602,2,"Magnitude Reduction"
"141","COL","2009-8",30.8592309065092,1,"Magnitude Reduction"
"142","NEU3","2009-8",70.4511217879208,1,"Magnitude Reduction"
"143","UTA","2009-8",81.1045871382463,1,"Magnitude Reduction"
"144","UVA","2009-8",74.8345139107602,1,"Magnitude Reduction"
"145","IMP","2009-8",62.0511297843712,3,"Magnitude Reduction"
"146","COL2","2009-8",55.4223715493405,1,"Magnitude Reduction"
"147","ENS","2009-8",62.4538258461914,1,"Magnitude Reduction"
"148","COL","2009-2",0,0,"Peak Delay"
"149","NEU3","2009-2",0,0,"Peak Delay"
"150","UTA","2009-2",0,0,"Peak Delay"
"151","UVA","2009-2",0,0,"Peak Delay"
"152","IMP","2009-2",0,0,"Peak Delay"
"153","COL2","2009-2",0,0,"Peak Delay"
"154","COL","2009-3",0,0,"Peak Delay"
"155","NEU3","2009-3",3,0,"Peak Delay"
"156","UTA","2009-3",0,0,"Peak Delay"
"157","UVA","2009-3",0,0,"Peak Delay"
"158","IMP","2009-3",1,0,"Peak Delay"
"159","COL2","2009-3",1,0,"Peak Delay"
"160","COL","2009-4",0,0,"Peak Delay"
"161","NEU3","2009-4",2,0,"Peak Delay"
"162","UTA","2009-4",0,0,"Peak Delay"
"163","UVA","2009-4",0,0,"Peak Delay"
"164","IMP","2009-4",1,0,"Peak Delay"
"165","COL2","2009-4",1,0,"Peak Delay"
"166","COL","2009-5",0,0,"Peak Delay"
"167","NEU3","2009-5",0,0,"Peak Delay"
"168","UTA","2009-5",-1,0,"Peak Delay"
"169","UVA","2009-5",0,0,"Peak Delay"
"170","IMP","2009-5",-3,0,"Peak Delay"
"171","COL2","2009-5",-1,0,"Peak Delay"
"172","COL","2009-6",2,0,"Peak Delay"
"173","NEU3","2009-6",0,0,"Peak Delay"
"174","UTA","2009-6",0,0,"Peak Delay"
"175","UVA","2009-6",12,0,"Peak Delay"
"176","IMP","2009-6",-2,0,"Peak Delay"
"177","COL2","2009-6",10,0,"Peak Delay"
"178","COL","2009-7",0,0,"Peak Delay"
"179","NEU3","2009-7",2,0,"Peak Delay"
"180","UTA","2009-7",-1,0,"Peak Delay"
"181","UVA","2009-7",0,0,"Peak Delay"
"182","IMP","2009-7",-3,0,"Peak Delay"
"183","COL2","2009-7",-1,0,"Peak Delay"
"184","COL","2009-8",2,0,"Peak Delay"
