"","Team","Scenario","Reduction","Rank","Output"
"1","COL","HP14",145643.9,6,"Averted Number"
"2","NEU3","HP14",2835.69999999997,10,"Averted Number"
"3","UTA","HP14",1099882.47310404,6,"Averted Number"
"4","UVA","HP14",20844.2163955873,10,"Averted Number"
"5","IMP","HP14",10240.8902918804,10.5,"Averted Number"
"6","COL2","HP14",1036.15084118971,10,"Averted Number"
"7","ENS","HP14",213413.888438783,10,"Averted Number"
"8","COL","HP15",0,11,"Averted Number"
"9","NEU3","HP15",351.799999999969,11,"Averted Number"
"10","UTA","HP15",-73634.18817841,11,"Averted Number"
"11","UVA","HP15",17.5743835995945,11,"Averted Number"
"12","IMP","HP15",10240.8902918804,10.5,"Averted Number"
"13","COL2","HP15",4.23121541999193,11,"Averted Number"
"14","ENS","HP15",-10503.2820479181,11,"Averted Number"
"15","COL","HP16",93831.3,10,"Averted Number"
"16","NEU3","HP16",735609.199999998,7,"Averted Number"
"17","UTA","HP16",473935.71573041,9,"Averted Number"
"18","UVA","HP16",420553.319434704,7,"Averted Number"
"19","IMP","HP16",800175.097489053,7,"Averted Number"
"20","COL2","HP16",341988.33754258,6,"Averted Number"
"21","ENS","HP16",477682.161699457,8,"Averted Number"
"22","COL","HP17",128554.8,8,"Averted Number"
"23","NEU3","HP17",772415.800000001,6,"Averted Number"
"24","UTA","HP17",398806.712408139,10,"Averted Number"
"25","UVA","HP17",310809.50658438,8,"Averted Number"
"26","IMP","HP17",841513.704490387,5.5,"Averted Number"
"27","COL2","HP17",333504.3872845,8,"Averted Number"
"28","ENS","HP17",464267.485127902,9,"Averted Number"
"29","COL","HP18",98655.3999999999,9,"Averted Number"
"30","NEU3","HP18",716131.100000001,8,"Averted Number"
"31","UTA","HP18",859770.444459031,7,"Averted Number"
"32","UVA","HP18",556115.809923222,5,"Averted Number"
"33","IMP","HP18",485237.277563641,8,"Averted Number"
"34","COL2","HP18",343559.44708948,5,"Averted Number"
"35","ENS","HP18",509911.579839229,7,"Averted Number"
"36","COL","HP19",134557.5,7,"Averted Number"
"37","NEU3","HP19",703765.899999999,9,"Averted Number"
"38","UTA","HP19",823942.186465743,8,"Averted Number"
"39","UVA","HP19",543899.686273709,6,"Averted Number"
"40","IMP","HP19",841513.704490387,5.5,"Averted Number"
"41","COL2","HP19",334943.08224582,7,"Averted Number"
"42","ENS","HP19",563770.343245942,5,"Averted Number"
"43","COL","HP20",172305.2,5,"Averted Number"
"44","NEU3","HP20",948113.299999998,5,"Averted Number"
"45","UTA","HP20",1849440.62433129,5,"Averted Number"
"46","UVA","HP20",101668.406716535,9,"Averted Number"
"47","IMP","HP20",143291.37764189,9,"Averted Number"
"48","COL2","HP20",85998.0896358097,9,"Averted Number"
"49","ENS","HP20",550136.166387588,6,"Averted Number"
"50","COL","HP21",483859.200000001,2,"Averted Number"
"51","NEU3","HP21",1750953.7,2,"Averted Number"
"52","UTA","HP21",4334848.65235499,2,"Averted Number"
"53","UVA","HP21",874996.048009696,2,"Averted Number"
"54","IMP","HP21",1262516.3643797,2,"Averted Number"
"55","COL2","HP21",1666162.43779366,1,"Averted Number"
"56","ENS","HP21",1728889.40042301,2,"Averted Number"
"57","COL","HP22",554910.599999998,1,"Averted Number"
"58","NEU3","HP22",1966322.9,1,"Averted Number"
"59","UTA","HP22",5131710.66634403,1,"Averted Number"
"60","UVA","HP22",1134453.19870744,1,"Averted Number"
"61","IMP","HP22",1281270.91132817,1,"Averted Number"
"62","COL2","HP22",465001.576951809,2,"Averted Number"
"63","ENS","HP22",1755611.64222191,1,"Averted Number"
"64","COL","HP23",277657,4,"Averted Number"
"65","NEU3","HP23",1665013.3,3,"Averted Number"
"66","UTA","HP23",2584994.52434176,4,"Averted Number"
"67","UVA","HP23",687268.534251887,4,"Averted Number"
"68","IMP","HP23",1027302.93316666,4,"Averted Number"
