"","Team","Scenario","Reduction","Rank","Output"
"1","COL","2009-2",341601.3,4,"Averted Number"
"2","NEU3","2009-2",67980.9999999999,6,"Averted Number"
"3","UTA","2009-2",132388.027140338,7,"Averted Number"
"4","UVA","2009-2",106662.988828196,6,"Averted Number"
"5","IMP","2009-2",66208.8878641502,6,"Averted Number"
"6","COL2","2009-2",78961.7419134199,4,"Averted Number"
"7","ENS","2009-2",132300.657624351,6,"Averted Number"
"8","COL","2009-3",128738.5,5,"Averted Number"
"9","NEU3","2009-3",167918.9,5,"Averted Number"
"10","UTA","2009-3",182530.410851595,6,"Averted Number"
"11","UVA","2009-3",70654.0057273069,7,"Averted Number"
"12","IMP","2009-3",32112.99026598,7,"Averted Number"
"13","COL2","2009-3",33621.8070157699,6,"Averted Number"
"14","ENS","2009-3",102596.102310109,7,"Averted Number"
"15","COL","2009-4",503537.7,3,"Averted Number"
"16","NEU3","2009-4",344652.1,4,"Averted Number"
"17","UTA","2009-4",278143.876867581,3,"Averted Number"
"18","UVA","2009-4",174638.815329825,5,"Averted Number"
"19","IMP","2009-4",110353.85998768,5,"Averted Number"
"20","COL2","2009-4",124119.987240599,3,"Averted Number"
"21","ENS","2009-4",255907.723237614,4,"Averted Number"
"22","COL","2009-5",44239.5000000001,7,"Averted Number"
"23","NEU3","2009-5",560392.400000001,3,"Averted Number"
"24","UTA","2009-5",245866.476619691,4,"Averted Number"
"25","UVA","2009-5",366583.207335587,3,"Averted Number"
"26","IMP","2009-5",417956.345544029,4,"Averted Number"
"27","COL2","2009-5",74215.0276326599,5,"Averted Number"
"28","ENS","2009-5",284875.492855327,3,"Averted Number"
"29","COL","2009-6",96602.7000000002,6,"Averted Number"
"30","NEU3","2009-6",2688.9999999998,7,"Averted Number"
"31","UTA","2009-6",236960.599154063,5,"Averted Number"
"32","UVA","2009-6",194366.185041057,4,"Averted Number"
"33","IMP","2009-6",555886.833075531,3,"Averted Number"
"34","COL2","2009-6",-101014.88167548,7,"Averted Number"
"35","ENS","2009-6",164248.405932528,5,"Averted Number"
"36","COL","2009-7",538756.5,2,"Averted Number"
"37","NEU3","2009-7",818443.8,2,"Averted Number"
"38","UTA","2009-7",463662.660608223,2,"Averted Number"
"39","UVA","2009-7",935127.826479097,2,"Averted Number"
"40","IMP","2009-7",884961.090010974,1,"Averted Number"
"41","COL2","2009-7",357078.069421978,1,"Averted Number"
"42","ENS","2009-7",666338.324420045,2,"Averted Number"
"43","COL","2009-8",753560.4,1,"Averted Number"
"44","NEU3","2009-8",1181565.2,1,"Averted Number"
"45","UTA","2009-8",479507.023286599,1,"Averted Number"
"46","UVA","2009-8",1114087.30578277,1,"Averted Number"
"47","IMP","2009-8",836956.489717587,2,"Averted Number"
"48","COL2","2009-8",309930.213745882,2,"Averted Number"
"49","ENS","2009-8",779267.772088806,1,"Averted Number"
"50","COL","2009-2",21.3383304981238,4,"Averted Percent"
"51","NEU3","2009-2",3.35688997952465,6,"Averted Percent"
"52","UTA","2009-2",20.033701993906,7,"Averted Percent"
"53","UVA","2009-2",3.94906668195391,6,"Averted Percent"
"54","IMP","2009-2",4.1685767966946,6,"Averted Percent"
"55","COL2","2009-2",6.73188773025414,4,"Averted Percent"
"56","ENS","2009-2",8.14238953491391,6,"Averted Percent"
"57","COL","2009-3",8.0417277710381,5,"Averted Percent"
"58","NEU3","2009-3",8.2918061338139,5,"Averted Percent"
"59","UTA","2009-3",27.621529943563,6,"Averted Percent"
"60","UVA","2009-3",2.61587813195172,7,"Averted Percent"
"61","IMP","2009-3",2.02186549893292,7,"Averted Percent"
"62","COL2","2009-3",2.8664290406183,6,"Averted Percent"
"63","ENS","2009-3",6.31423490081752,7,"Averted Percent"
"64","COL","2009-4",31.4537850437487,3,"Averted Percent"
"65","NEU3","2009-4",17.0188608715984,4,"Averted Percent"
"66","UTA","2009-4",42.09029820112,3,"Averted Percent"
"67","UVA","2009-4",6.46578850425581,5,"Averted Percent"
"68","IMP","2009-4",6.94798772506511,5,"Averted Percent"
"69","COL2","2009-4",10.5818564653813,3,"Averted Percent"
"70","ENS","2009-4",15.749735526712,4,"Averted Percent"
"71","COL","2009-5",2.76344695430536,7,"Averted Percent"
"72","NEU3","2009-5",27.6720794363392,3,"Averted Percent"
"73","UTA","2009-5",37.2059001806042,4,"Averted Percent"
"74","UVA","2009-5",13.5722948152573,3,"Averted Percent"
"75","IMP","2009-5",26.3149432088482,4,"Averted Percent"
"76","COL2","2009-5",6.32720633833769,5,"Averted Percent"
"77","ENS","2009-5",17.5325449882853,3,"Averted Percent"
"78","COL","2009-6",6.03434571124615,6,"Averted Percent"
"79","NEU3","2009-6",0.132782353230184,7,"Averted Percent"
"80","UTA","2009-6",35.8582126366883,5,"Averted Percent"
"81","UVA","2009-6",7.19617023558621,4,"Averted Percent"
"82","IMP","2009-6",34.9991825674724,3,"Averted Percent"
"83","COL2","2009-6",-8.61202939608232,7,"Averted Percent"
"84","ENS","2009-6",10.1086005588014,5,"Averted Percent"
"85","COL","2009-7",33.6537485513446,2,"Averted Percent"
"86","NEU3","2009-7",40.4146127745117,2,"Averted Percent"
"87","UTA","2009-7",70.1640455634256,2,"Averted Percent"
"88","UVA","2009-7",34.6219638460045,2,"Averted Percent"
"89","IMP","2009-7",55.7180219273066,1,"Averted Percent"
"90","COL2","2009-7",30.4427108120333,1,"Averted Percent"
