"","Agegroup","Bin_cml","Cml","team"
"1","0-4 years","sm.mean",1.844937,"COL"
"2","5-17 years","sm.mean",3.140815,"COL"
"3","18-49 years","sm.mean",35.659504,"COL"
"4","50-64 years","sm.mean",49.644923,"COL"
"5","65+ years","sm.mean",150.621544,"COL"
"6","0-4 years","sm.mean",2.964634,"NEU"
"7","5-17 years","sm.mean",6.027151,"NEU"
"8","18-49 years","sm.mean",30.223492,"NEU"
"9","50-64 years","sm.mean",54.520512,"NEU"
"10","65+ years","sm.mean",351.957939,"NEU"
"11","0-4 yr","sm.mean",4.79424226788041,"UTA"
"12","5-17 yr","sm.mean",6.96501355513837,"UTA"
"13","18-49 yr","sm.mean",51.4381962577278,"UTA"
"14","50-64 yr","sm.mean",54.6938681995899,"UTA"
"15","65+ yr","sm.mean",353.991848956836,"UTA"
"16","0-4 years","sm.mean",2.04740876589333,"UVA"
"17","5-17 years","sm.mean",5.88128635616847,"UVA"
"18","18-49 years","sm.mean",18.2881366130351,"UVA"
"19","50-64 years","sm.mean",31.7604068122567,"UVA"
"20","65+ years","sm.mean",169.879031650596,"UVA"
"21","0-4 years","sm.mean",2.88848971542678,"IMP"
"22","5-17 years","sm.mean",5.52182559560564,"IMP"
"23","18-49 years","sm.mean",23.9841521975698,"IMP"
"24","50-64 years","sm.mean",40.7635090172456,"IMP"
"25","65+ years","sm.mean",320.435527531432,"IMP"
"26","0-4 years","sm.mean",4.00774848144875,"COL2"
"27","5-17 years","sm.mean",6.89091577445414,"COL2"
"28","18-49 years","sm.mean",31.2602129353222,"COL2"
"29","50-64 years","sm.mean",34.2628852409117,"COL2"
"30","65+ years","sm.mean",133.853418119666,"COL2"
