"","team","Hosp"
"1","ENS","502 (453, 541)"
"2","UVA","188 (163, 208)"
"3","UTA","834 (664, 950)"
"4","NEU3","662 (661, 665)"
"5","IMP","349 (327, 374)"
"6","COL2","475 (458, 492)"
"7","COL","502 (443, 560)"
