"","team","week","sm.mean","sm.perc2p5","sm.perc97p5","Date"
"1","COL",1,8.4e-05,5.5e-05,0.000121,2020-07-01
"2","COL",2,0.000267,0.000191,0.000366,2020-07-08
"3","COL",3,0.000674,0.000462,0.000954,2020-07-15
"4","COL",4,0.001547,0.001051,0.002291,2020-07-22
"5","COL",5,0.003431,0.002217,0.005307,2020-07-29
"6","COL",6,0.007659,0.004794,0.012342,2020-08-05
"7","COL",7,0.017417,0.010222,0.029352,2020-08-12
"8","COL",8,0.040947,0.02168,0.072496,2020-08-19
"9","COL",9,0.097433,0.046994,0.176181,2020-08-26
"10","COL",10,0.23225,0.105284,0.419421,2020-09-02
"11","COL",11,0.513221,0.237502,0.892717,2020-09-09
"12","COL",12,0.947853,0.51602,1.494967,2020-09-16
"13","COL",13,1.309849,0.939048,1.738217,2020-09-23
"14","COL",14,1.45979,1.262739,1.8942,2020-09-30
"15","COL",15,1.42732,1.187788,1.882304,2020-10-07
"16","COL",16,1.365762,1.087777,1.817685,2020-10-14
"17","COL",17,1.292838,1.025968,1.677035,2020-10-21
"18","COL",18,1.194582,0.945553,1.509151,2020-10-28
"19","COL",19,1.059157,0.81732,1.303104,2020-11-04
"20","COL",20,0.913351,0.667682,1.135343,2020-11-11
"21","COL",21,0.774708,0.541086,0.997983,2020-11-18
"22","COL",22,0.65905,0.45747,0.864522,2020-11-25
"23","COL",23,0.55059,0.377289,0.736862,2020-12-02
"24","COL",24,0.458519,0.29865,0.63122,2020-12-09
"25","COL",25,0.381671,0.226166,0.536335,2020-12-16
"26","COL",26,0.301604,0.167265,0.444103,2020-12-23
"27","COL",27,0.238533,0.123012,0.36086,2020-12-30
"28","COL",28,0.188528,0.090534,0.291029,2021-01-06
"29","COL",29,0.147449,0.066462,0.231549,2021-01-13
"30","COL",30,0.113263,0.047578,0.190069,2021-01-20
"31","COL",31,0.08574,0.033435,0.146223,2021-01-27
"32","COL",32,0.064272,0.023333,0.112849,2021-02-03
"33","COL",33,0.046748,0.015908,0.084731,2021-02-10
"34","COL",34,0.034122,0.010864,0.063591,2021-02-17
"35","COL",35,0.024352,0.007251,0.045297,2021-02-24
"36","COL",36,0.017242,0.00476,0.031692,2021-03-03
"37","COL",37,0.01216,0.003091,0.022522,2021-03-10
"38","COL",38,0.008336,0.001956,0.015799,2021-03-17
"39","COL",39,0.005657,0.001228,0.011085,2021-03-24
"40","COL",40,0.003831,0.000741,0.00776,2021-03-31
"41","COL",41,0.002525,0.000442,0.005279,2021-04-07
"42","COL",42,0.001647,0.000266,0.003586,2021-04-14
"43","COL",43,0.001064,0.000146,0.002382,2021-04-21
"44","COL",44,0.000677,8.5e-05,0.001552,2021-04-28
"45","COL",45,0.000429,4.8e-05,0.001027,2021-05-05
"46","COL",46,0.000268,2.8e-05,0.000676,2021-05-12
"47","COL",47,0.000164,1.5e-05,0.000436,2021-05-19
"48","COL",48,1e-04,9e-06,0.000286,2021-05-26
"49","COL",49,6e-05,3e-06,0.000182,2021-06-02
"50","COL",50,3.6e-05,1e-06,0.000112,2021-06-09
"51","COL",51,2.2e-05,0,7.6e-05,2021-06-16
"52","COL",52,1.3e-05,0,4.7e-05,2021-06-23
"261","COL2",1,0.023436420915479,0.0173478355591255,0.0289540431250308,2020-07-01
"262","COL2",2,0.0324000989369003,0.0235470474495282,0.0412312927132926,2020-07-08
"263","COL2",3,0.0386552883126988,0.0274318591579643,0.0519232208477217,2020-07-15
"264","COL2",4,0.0456444494384394,0.0313755665257319,0.0648822670569442,2020-07-22
"265","COL2",5,0.0538049481116568,0.0343523844613836,0.0803953231370706,2020-07-29
"266","COL2",6,0.063393392255043,0.0382993156172369,0.0994855107185922,2020-08-05
"267","COL2",7,0.0745852713428684,0.0427636969442884,0.123158378469118,2020-08-12
"268","COL2",8,0.087880145737076,0.0477014876376047,0.1530286056633,2020-08-19
"269","COL2",9,0.125979809679004,0.0642567937775723,0.228498276125031,2020-08-26
"270","COL2",10,0.201646625450527,0.0982363870385439,0.375771462154051,2020-09-02
"271","COL2",11,0.318634619884948,0.152637456977489,0.601701313343393,2020-09-09
"272","COL2",12,0.487441131021686,0.237292372005546,0.916376319935173,2020-09-16
"273","COL2",13,0.713300607183178,0.370161898935076,1.25973045025274,2020-09-23
"274","COL2",14,0.976141056493789,0.560466103715326,1.51751471489393,2020-09-30
"275","COL2",15,1.18998199399566,0.780017913359272,1.65940954498084,2020-10-07
"276","COL2",16,1.31028766320551,0.979315098163288,1.67821618124718,2020-10-14
"277","COL2",17,1.28501235581486,0.956230697136221,1.62711334607196,2020-10-21
"278","COL2",18,1.12486754533486,0.709140539488688,1.52943419347911,2020-10-28
"279","COL2",19,0.918658511284635,0.500180038545149,1.37353323706685,2020-11-04
"280","COL2",20,0.692293099705563,0.34036311948886,1.08911644890364,2020-11-11
"281","COL2",21,0.499336614373308,0.229273732427863,0.81593550054843,2020-11-18
"282","COL2",22,0.35179529952691,0.154325048875527,0.589086677528054,2020-11-25
"283","COL2",23,0.247167019386996,0.106320589090458,0.422710315622863,2020-12-02
"284","COL2",24,0.174695825716453,0.0755722344746491,0.301215853489392,2020-12-09
"285","COL2",25,0.123076900622252,0.0544452424631273,0.214460588049097,2020-12-16
"286","COL2",26,0.0898432483926004,0.0412266824393713,0.155881971785373,2020-12-23
"287","COL2",27,0.0648602390211636,0.0318478494022748,0.110137527321188,2020-12-30
"288","COL2",28,0.0479709855159391,0.0253103156229319,0.0781886412128652,2021-01-06
"289","COL2",29,0.0369536870767141,0.021469765788198,0.0577458921510624,2021-01-13
"290","COL2",30,0.0298247565634992,0.018831066007889,0.0446093681107412,2021-01-20
"291","COL2",31,0.0248911799416768,0.0169995808042615,0.0353821522891054,2021-01-27
"292","COL2",32,0.02132125598607,0.0157237331699874,0.0286915830537631,2021-02-03
"293","COL2",33,0.0188258519508433,0.0147531151672451,0.0241289803659802,2021-02-10
"294","COL2",34,0.0169890292064931,0.0139086755922628,0.0207503129001729,2021-02-17
"295","COL2",35,0.0156908107057888,0.013359542306045,0.0185131473021895,2021-02-24
"296","COL2",36,0.0147413453692385,0.0128185321580871,0.0170529920381329,2021-03-03
"297","COL2",37,0.0140131816837605,0.0122435267789618,0.0159675441763397,2021-03-10
"298","COL2",38,0.013442986260023,0.0118287577182877,0.0152171696942276,2021-03-17
"299","COL2",39,0.0130127927512841,0.0114884752257785,0.014773604216602,2021-03-24
"300","COL2",40,0.0125993101121241,0.0110931410399725,0.014211805321608,2021-03-31
"301","COL2",41,0.0123308878359491,0.0108530032025517,0.013854008262436,2021-04-07
"302","COL2",42,0.0120403581258374,0.0106004276887707,0.0136200346285664,2021-04-14
"303","COL2",43,0.0117520018408876,0.0103557464299677,0.0133135615342826,2021-04-21
"304","COL2",44,0.0115710558964449,0.0102012192382991,0.0131175935800235,2021-04-28
"305","COL2",45,0.0113388703218521,0.010008831036207,0.0128455785157823,2021-05-05
"306","COL2",46,0.0111531514069167,0.00986177137751061,0.0126411071150921,2021-05-12
"307","COL2",47,0.0110201645973578,0.00975761101697988,0.0124919962264976,2021-05-19
"308","COL2",48,0.0108665828382913,0.00963446918906461,0.012359769390883,2021-05-26
"309","COL2",49,0.0107367532621499,0.00953077662944321,0.012253553486825,2021-06-02
"310","COL2",50,0.01061699773718,0.00943048825329335,0.0121545935549156,2021-06-09
"311","COL2",51,0.0105267015261191,0.00935691769331866,0.0120696332760433,2021-06-16
"312","COL2",52,0.0104587434101148,0.00930141367450375,0.0119877924434455,2021-06-23
"209","IMP",1,0.332367950583146,0.251940944742608,0.40697119458276,2020-07-01
"210","IMP",2,0.33591933831096,0.257475834535465,0.409880469992519,2020-07-08
"211","IMP",3,0.325200538940917,0.252671149221913,0.400286064177485,2020-07-15
"212","IMP",4,0.303531639605147,0.240490294124774,0.379086399654955,2020-07-22
"213","IMP",5,0.27512237686277,0.216170101222858,0.347911871320334,2020-07-29
"214","IMP",6,0.244001387479559,0.186276332517376,0.313998963073312,2020-08-05
"215","IMP",7,0.213348245115641,0.16173634148435,0.280996076492507,2020-08-12
"216","IMP",8,0.185272429654685,0.137471865609955,0.248966808235817,2020-08-19
"217","IMP",9,0.161254081198308,0.116383664787919,0.217264123221732,2020-08-26
"218","IMP",10,0.189141342043469,0.136889113384791,0.250976180131062,2020-09-02
"219","IMP",11,0.30847412918157,0.235521559378367,0.396001896663118,2020-09-09
"220","IMP",12,0.523542413712597,0.41658057196997,0.64580462819652,2020-09-16
"221","IMP",13,0.86225754471891,0.712662126701533,1.00821307752102,2020-09-23
"222","IMP",14,1.31309976164616,1.11644286674325,1.49885193078254,2020-09-30
"223","IMP",15,1.75577689412697,1.5185427338297,1.9993392389955,2020-10-07
"224","IMP",16,1.97854881716499,1.7280006120299,2.26757115432567,2020-10-14
"225","IMP",17,1.86170638804211,1.63665906336075,2.12544253742713,2020-10-21
"226","IMP",18,1.50117337470167,1.32066339635456,1.69831970723352,2020-10-28
"227","IMP",19,1.08416610394186,0.93788273837753,1.23675318838174,2020-11-04
"228","IMP",20,0.732252580002322,0.614986113750711,0.84647673329727,2020-11-11
"229","IMP",21,0.47813152310065,0.391658681974907,0.564569829685479,2020-11-18
"230","IMP",22,0.308664147130461,0.247387128062827,0.375603664622282,2020-11-25
"231","IMP",23,0.199748918940872,0.155632794392361,0.251528805106962,2020-12-02
"232","IMP",24,0.130615850146464,0.0981568119423168,0.169400879862147,2020-12-09
"233","IMP",25,0.0866514839506049,0.0634397850575622,0.115433784396553,2020-12-16
"234","IMP",26,0.0584063410619731,0.0413583168763941,0.0794432960130507,2020-12-23
"235","IMP",27,0.0399887287452235,0.027314318613134,0.0553694642540288,2020-12-30
"236","IMP",28,0.0277710418342973,0.0183617146311917,0.0391493218870282,2021-01-06
"237","IMP",29,0.0195189933033997,0.0124908851904761,0.028061834481473,2021-01-13
"238","IMP",30,0.0138459384897217,0.00862465461758316,0.0201750044023868,2021-01-20
"239","IMP",31,0.0098811248620917,0.00594683513985242,0.0145872849939423,2021-01-27
"240","IMP",32,0.00706993940222221,0.00413378159782385,0.0106189825673572,2021-02-03
"241","IMP",33,0.00505345896529358,0.00288659495495994,0.00772087083205247,2021-02-10
"242","IMP",34,0.00359529329190699,0.00200463965377925,0.00557531450799949,2021-02-17
"243","IMP",35,0.00253667507130373,0.00138483115642912,0.00398916202057316,2021-02-24
"244","IMP",36,0.0017685871726096,0.000943027238418807,0.00282490867510809,2021-03-03
"245","IMP",37,0.00121430671714316,0.00063196104597335,0.00198084726173238,2021-03-10
"246","IMP",38,0.00081840401673267,0.000415517275199277,0.00136529874589331,2021-03-17
"247","IMP",39,0.000539824178716081,0.00026722737797664,0.000922403337650754,2021-03-24
"248","IMP",40,0.000347553350539707,0.000167635367299118,0.00060931231647563,2021-03-31
"249","IMP",41,0.000217906405496464,0.000102307523094035,0.00038949249018314,2021-04-07
"250","IMP",42,0.000132788887590371,6.0636586283607e-05,0.000242810579049507,2021-04-14
"251","IMP",43,7.85306185587244e-05,3.45965887441012e-05,0.000146887771570465,2021-04-21
"252","IMP",44,4.50232993720019e-05,1.90700722553198e-05,8.61420610114819e-05,2021-04-28
"253","IMP",45,2.50088021199759e-05,1.00580840861876e-05,4.89605069953492e-05,2021-05-05
"254","IMP",46,1.34571321405332e-05,5.19267190463914e-06,2.71318707315592e-05,2021-05-12
"255","IMP",47,7.01735223822885e-06,2.60570747652859e-06,1.45266460359115e-05,2021-05-19
"256","IMP",48,3.54899497572066e-06,1.25477671512822e-06,7.54297603707879e-06,2021-05-26
"257","IMP",49,1.74302308783339e-06,5.85402451442863e-07,3.80256819785026e-06,2021-06-02
"258","IMP",50,8.32761483065622e-07,2.68019007405134e-07,1.86461595179845e-06,2021-06-09
"259","IMP",51,3.8785772439685e-07,1.18161800570973e-07,8.96526086623309e-07,2021-06-16
"260","IMP",52,1.76536354170373e-07,5.10768191578057e-08,4.21374452247498e-07,2021-06-23
"53","NEU3",1,0.364274,0.001852,1.140297,2020-07-01
"54","NEU3",2,0.359968,0.00236,0.978037,2020-07-08
"55","NEU3",3,0.350981,0.003096,0.834974,2020-07-15
"56","NEU3",4,0.341,0.003969,0.736863,2020-07-22
"57","NEU3",5,0.332443,0.005121,0.65687,2020-07-29
"58","NEU3",6,0.326941,0.006656,0.600791,2020-08-05
"59","NEU3",7,0.325613,0.008756,0.564214,2020-08-12
"60","NEU3",8,0.329321,0.01249,0.546185,2020-08-19
"61","NEU3",9,0.360165,0.018496,0.576992,2020-08-26
"62","NEU3",10,0.496939,0.037269,0.778968,2020-09-02
"63","NEU3",11,0.739826,0.076431,1.147665,2020-09-09
"64","NEU3",12,1.136273,0.165079,1.733968,2020-09-16
"65","NEU3",13,1.643838,0.352909,2.559319,2020-09-23
"66","NEU3",14,2.122592,0.550013,3.278585,2020-09-30
"67","NEU3",15,2.324322,0.582529,3.697787,2020-10-07
"68","NEU3",16,2.170848,0.55065,3.835104,2020-10-14
"69","NEU3",17,1.866876,0.510192,3.977735,2020-10-21
"70","NEU3",18,1.475118,0.457303,4.083155,2020-10-28
"71","NEU3",19,1.076905,0.422477,3.95153,2020-11-04
"72","NEU3",20,0.723468,0.360948,3.057703,2020-11-11
"73","NEU3",21,0.477299,0.223671,2.0347,2020-11-18
"74","NEU3",22,0.289704,0.116913,1.087756,2020-11-25
"75","NEU3",23,0.186308,0.061703,0.556429,2020-12-02
"76","NEU3",24,0.129807,0.033855,0.343434,2020-12-09
"77","NEU3",25,0.091927,0.017781,0.304216,2020-12-16
"78","NEU3",26,0.056977,0.008129,0.208639,2020-12-23
"79","NEU3",27,0.03404,0.003538,0.1426,2020-12-30
"80","NEU3",28,0.021337,0.001539,0.101776,2021-01-06
"81","NEU3",29,0.015896,0.000746,0.085783,2021-01-13
"82","NEU3",30,0.012886,0.000364,0.077777,2021-01-20
"83","NEU3",31,0.011144,0.000178,0.073817,2021-01-27
"84","NEU3",32,0.009838,8.6e-05,0.06965,2021-02-03
"85","NEU3",33,0.008533,3.8e-05,0.063417,2021-02-10
"86","NEU3",34,0.007157,1.4e-05,0.056114,2021-02-17
"87","NEU3",35,0.006121,5e-06,0.050842,2021-02-24
"88","NEU3",36,0.005219,1e-06,0.045508,2021-03-03
"89","NEU3",37,0.004379,0,0.039939,2021-03-10
"90","NEU3",38,0.003597,0,0.033381,2021-03-17
"91","NEU3",39,0.002901,0,0.028216,2021-03-24
"92","NEU3",40,0.002279,0,0.022483,2021-03-31
"93","NEU3",41,0.001752,0,0.017537,2021-04-07
"94","NEU3",42,0.001313,0,0.013455,2021-04-14
"95","NEU3",43,0.000962,0,0.010108,2021-04-21
"96","NEU3",44,0.00069,0,0.00725,2021-04-28
"97","NEU3",45,0.000482,0,0.004989,2021-05-05
"98","NEU3",46,0.000331,0,0.003487,2021-05-12
"99","NEU3",47,0.000223,0,0.002292,2021-05-19
"100","NEU3",48,0.000147,0,0.001519,2021-05-26
"101","NEU3",49,9.6e-05,0,0.001003,2021-06-02
"102","NEU3",50,6.2e-05,0,0.000663,2021-06-09
"103","NEU3",51,4e-05,0,0.00044,2021-06-16
"104","NEU3",52,2.6e-05,0,0.000284,2021-06-23
"105","UTA",1,0,0,0,2020-07-01
"106","UTA",2,0,0,0,2020-07-08
"107","UTA",3,0,0,0,2020-07-15
"108","UTA",4,0,0,0,2020-07-22
"109","UTA",5,0,0,0,2020-07-29
"110","UTA",6,0,0,0,2020-08-05
"111","UTA",7,0,0,0,2020-08-12
"112","UTA",8,0,0,0,2020-08-19
"113","UTA",9,0,0,0,2020-08-26
"114","UTA",10,0,0,0,2020-09-02
"115","UTA",11,0.126688796709129,0.0254964696593692,0.243427882960316,2020-09-09
"116","UTA",12,0.185410792270236,0.036077360162648,0.367183573936747,2020-09-16
"117","UTA",13,0.336659487488074,0.0605407233813446,0.688777836830651,2020-09-23
"118","UTA",14,0.555448432725572,0.10556454419124,1.07661047554284,2020-09-30
"119","UTA",15,0.735802159143032,0.165083653821111,1.34495011088459,2020-10-07
"120","UTA",16,0.80504514873649,0.22312927737533,1.34777095272139,2020-10-14
"121","UTA",17,0.768314937483636,0.245158182231808,1.25844690181521,2020-10-21
"122","UTA",18,0.665784865601653,0.25019214409634,1.04869059059231,2020-10-28
"123","UTA",19,0.529028519417856,0.214579945039816,0.848321538069472,2020-11-04
"124","UTA",20,0.402736868113506,0.182465317384791,0.67617137725896,2020-11-11
"125","UTA",21,0.302123382467213,0.143923384547322,0.554425739080411,2020-11-18
"126","UTA",22,0.228090840062183,0.109171838231496,0.461861031421203,2020-11-25
"127","UTA",23,0.187309015430487,0.0949177609180609,0.417612893598662,2020-12-02
"128","UTA",24,0.157303957171472,0.0838995233811422,0.369461660335021,2020-12-09
"129","UTA",25,0.124806793814793,0.0625713694121021,0.316771884679742,2020-12-16
"130","UTA",26,0.0930248227841378,0.0444751529358655,0.246366358806573,2020-12-23
"131","UTA",27,0.0765351973127464,0.0319647396468736,0.20164427017112,2020-12-30
"132","UTA",28,0.0679397115854592,0.024678077584527,0.185313936428062,2021-01-06
