"","scenario","team","agegroup","cml","lower","upper"
"1","RL01_","COL","0-4 years",0.09692022,0.07921387,0.11785523
"2","RL01_","COL","5-17 years",0.10983433,0.0913219,0.13476317
"3","RL01_","COL","18-49 years",0.2555993,0.2161737,0.2955059
"4","RL01_","COL","50-64 years",0.16810432,0.14361156,0.19620919
"5","RL01_","COL","65+ years",0.04312861,0.03515406,0.05328476
"6","RL01_","NEU","0-4 years",0.18848476,0.17398922,0.23065964
"7","RL01_","NEU","5-17 years",0.2676413,0.24816746,0.32203344
"8","RL01_","NEU","18-49 years",0.22711822,0.21114505,0.27349442
"9","RL01_","NEU","50-64 years",0.2075876,0.19312092,0.25039737
"10","RL01_","NEU","65+ years",0.11037397,0.10211405,0.13576358
"11","RL01_","UTA","0-4 years",0.19565951942915,0.129983156117115,0.240378804490661
"12","RL01_","UTA","5-17 years",0.211204761351941,0.149709743481189,0.251432818676268
"13","RL01_","UTA","18-49 years",0.139511485881556,0.0839418903524823,0.184294847103721
"14","RL01_","UTA","50-64 years",0.138387227572841,0.0833229284551422,0.18266762566455
"15","RL01_","UTA","65+ years",0.00686226211255843,0.00352064920241605,0.0102360227079079
"16","RL01_","UVA","0-4 years",0.205568734747451,0.125604830416402,0.268405976490211
"17","RL01_","UVA","5-17 years",0.414394229317658,0.326226086305922,0.460261925146956
"18","RL01_","UVA","18-49 years",0.214887335294167,0.132942452054617,0.277938986779555
"19","RL01_","UVA","50-64 years",0.190047031641993,0.11409794175067,0.250485641787901
"20","RL01_","UVA","65+ years",0.0614622511660276,0.0332875475284029,0.0867510066862667
"21","RL01_","IMP","0-4 years",0.184293625212407,0.162857138861187,0.210360914277117
"22","RL01_","IMP","5-17 years",0.26424312790447,0.235469296569895,0.298788302124094
"23","RL01_","IMP","18-49 years",0.188577334417808,0.172267144462629,0.20856900232825
"24","RL01_","IMP","50-64 years",0.0936049949096964,0.0832133655186295,0.105308339221913
"25","RL01_","IMP","65+ years",0.0613728583387672,0.0537102304838041,0.069637847194859
"26","RL01_","COL2","0-4 years",0.237415908163407,0.209999236362692,0.260801452977376
"27","RL01_","COL2","5-17 years",0.279811621594434,0.251118648544137,0.306075287216472
"28","RL01_","COL2","18-49 years",0.186843765236017,0.151741359486187,0.22093667139075
"29","RL01_","COL2","50-64 years",0.0992756663909123,0.0758763722794631,0.125616429015282
"30","RL01_","COL2","65+ years",0.0319420071232034,0.0234879443163363,0.0420153769886756
"31","RL01_","NEU2","0-4 years",0.18848476,0.17398922,0.23065964
"32","RL01_","NEU2","5-17 years",0.2676413,0.24816746,0.32203344
"33","RL01_","NEU2","18-49 years",0.22711822,0.21114505,0.27349442
"34","RL01_","NEU2","50-64 years",0.2075876,0.19312092,0.25039737
"35","RL01_","NEU2","65+ years",0.11037397,0.10211405,0.13576358
"36","RL01_","NEU3","0-4 years",0.18443251,0.16397238,0.23140543
"37","RL01_","NEU3","5-17 years",0.23139325,0.20468378,0.28477604
"38","RL01_","NEU3","18-49 years",0.18170788,0.16296291,0.22494136
"39","RL01_","NEU3","50-64 years",0.17135064,0.15442374,0.21251483
"40","RL01_","NEU3","65+ years",0.06899757,0.06208482,0.08700333
