"","team","HP01","HP02","HP03","HP04","HP05","HP06","HP07","HP08","HP09","HP10","HP11","HP12"
"1","COL","201 (151, 256)","147 (91, 220)","201 (151, 256)","141 (85, 213)","127 (70, 196)","193 (143, 248)","185 (135, 240)","185 (135, 241)","126 (73, 192)","109 (57, 172)","177 (128, 232)","169 (118, 224)"
"2","NEU","345 (344, 350)","263 (257, 283)","345 (343, 349)","215 (210, 231)","98 (89, 124)","282 (282, 283)","251 (248, 260)","315 (314, 317)","105 (96, 131)","19 (16, 31)","219 (217, 225)","120 (111, 145)"
"3","UTA","404 (207, 532)","134 (8, 318)","421 (226, 546)","397 (210, 515)","384 (152, 529)","336 (141, 465)","304 (66, 477)","264 (97, 354)","59 (2, 128)","12 (0, 53)","186 (80, 288)","171 (17, 290)"
"4","UVA","136 (110, 157)","106 (45, 150)","135 (104, 157)","129 (108, 145)","135 (110, 155)","116 (99, 130)","131 (109, 142)","117 (94, 135)","54 (26, 82)","31 (7, 59)","69 (35, 100)","50 (8, 98)"
"5","IMP","463 (437, 491)","370 (301, 438)","462 (435, 490)","443 (420, 476)","271 (164, 347)","335 (308, 358)","391 (364, 423)","450 (424, 477)","135 (77, 228)","30 (3, 121)","244 (182, 303)","125 (21, 282)"
"6","COL2","223 (211, 234)","210 (187, 227)","223 (210, 234)","194 (183, 205)","207 (196, 217)","184 (171, 196)","183 (170, 196)","216 (204, 228)","150 (126, 171)","108 (63, 147)","174 (161, 187)","169 (152, 185)"
"7","ENS","295 (243, 337)","205 (148, 273)","298 (245, 339)","253 (202, 298)","204 (130, 262)","241 (191, 280)","241 (182, 290)","258 (211, 292)","105 (67, 156)","52 (24, 97)","178 (134, 222)","134 (71, 204)"
