"","scenario","team","agegroup","reduction"
"112","HP05_","COL","18-49 years",37.9314749706754
"113","HP05_","COL","50-64 years",39.7744531206964
"114","HP05_","COL","65+ years",32.7151205579004
"115","HP05_","NEU","Overall",73.8091556428496
"116","HP05_","NEU","0-4 years",75.7899449015027
"117","HP05_","NEU","5-17 years",79.0830542302957
"118","HP05_","NEU","18-49 years",73.0596780393001
"119","HP05_","NEU","50-64 years",70.3579235015677
"120","HP05_","NEU","65+ years",70.5501691284901
"121","HP05_","UTA","Overall",4.93045363706997
"122","HP05_","UTA","0-4 years",4.83781491249712
"123","HP05_","UTA","5-17 years",4.69756393980419
"124","HP05_","UTA","18-49 years",4.98944009209095
"125","HP05_","UTA","50-64 years",5.03148913228693
"126","HP05_","UTA","65+ years",4.91418869852953
"127","HP05_","UVA","Overall",0.47853569779065
"128","HP05_","UVA","0-4 years",0.969646738489875
"129","HP05_","UVA","5-17 years",0.685645395251125
"130","HP05_","UVA","18-49 years",0.260846102086105
"131","HP05_","UVA","50-64 years",0.386541204189977
"132","HP05_","UVA","65+ years",0.574846708069001
"133","HP05_","IMP","Overall",43.9021949518528
"134","HP05_","IMP","0-4 years",45.7476726417288
"135","HP05_","IMP","5-17 years",63.1216356297565
"136","HP05_","IMP","18-49 years",37.2562801659114
"137","HP05_","IMP","50-64 years",36.6808893364508
"138","HP05_","IMP","65+ years",39.1305551082919
"139","HP05_","COL2","Overall",6.82561929319395
"140","HP05_","COL2","0-4 years",15.8981846908129
"141","HP05_","COL2","5-17 years",10.2580692777828
"142","HP05_","COL2","18-49 years",3.5881256639705
"143","HP05_","COL2","50-64 years",6.31755791751422
"144","HP05_","COL2","65+ years",8.56330700070259
"145","HP06_","COL","Overall",4.36437849634461
"146","HP06_","COL","0-4 years",4.99533759002476
"147","HP06_","COL","5-17 years",12.2126956370801
"148","HP06_","COL","18-49 years",3.29101083978272
"149","HP06_","COL","50-64 years",3.10275900227035
"150","HP06_","COL","65+ years",4.98333334248934
"151","HP06_","NEU","Overall",21.2285028805874
"152","HP06_","NEU","0-4 years",24.2661495389585
"153","HP06_","NEU","5-17 years",33.9700195907753
"154","HP06_","NEU","18-49 years",17.8448454120728
"155","HP06_","NEU","50-64 years",15.5276570165879
"156","HP06_","NEU","65+ years",17.6683389472071
"157","HP06_","UTA","Overall",17.7698072830186
"158","HP06_","UTA","0-4 years",16.3839463312272
"159","HP06_","UTA","5-17 years",17.7997679771551
"160","HP06_","UTA","18-49 years",18.2762434039317
"161","HP06_","UTA","50-64 years",17.5725023310982
"162","HP06_","UTA","65+ years",15.193435991527
"163","HP06_","UVA","Overall",16.0260312241605
"164","HP06_","UVA","0-4 years",22.6937261176422
"165","HP06_","UVA","5-17 years",21.8657507858822
"166","HP06_","UVA","18-49 years",11.1513477318779
"167","HP06_","UVA","50-64 years",13.2545895398965
"168","HP06_","UVA","65+ years",16.3650397899914
"169","HP06_","IMP","Overall",29.6907621300967
"170","HP06_","IMP","0-4 years",31.7608112370005
"171","HP06_","IMP","5-17 years",45.5110790735552
"172","HP06_","IMP","18-49 years",24.1655850660134
"173","HP06_","IMP","50-64 years",23.7094168806807
"174","HP06_","IMP","65+ years",25.7096713175151
"175","HP06_","COL2","Overall",16.0837960428557
"176","HP06_","COL2","0-4 years",36.1618735923134
"177","HP06_","COL2","5-17 years",21.4301001876061
"178","HP06_","COL2","18-49 years",9.84734295564685
"179","HP06_","COL2","50-64 years",16.0204339390225
"180","HP06_","COL2","65+ years",20.6446834125551
"181","HP07_","COL","Overall",7.60463240943069
"182","HP07_","COL","0-4 years",9.97782971998391
"183","HP07_","COL","5-17 years",19.7744069988517
"184","HP07_","COL","18-49 years",5.75390471155606
"185","HP07_","COL","50-64 years",5.79244808235179
"186","HP07_","COL","65+ years",10.0561390671103
"187","HP07_","NEU","Overall",30.5211887943024
"188","HP07_","NEU","0-4 years",33.7963080371716
"189","HP07_","NEU","5-17 years",44.0864902023424
"190","HP07_","NEU","18-49 years",27.0183454394507
"191","HP07_","NEU","50-64 years",24.2639612662902
"192","HP07_","NEU","65+ years",26.558998135508
"193","HP07_","UTA","Overall",24.1049404625887
"194","HP07_","UTA","0-4 years",23.6263293409699
"195","HP07_","UTA","5-17 years",23.637279030854
"196","HP07_","UTA","18-49 years",24.2826688084247
"197","HP07_","UTA","50-64 years",23.9971105631189
"198","HP07_","UTA","65+ years",25.0091295419565
"199","HP07_","UVA","Overall",3.65099720537867
"200","HP07_","UVA","0-4 years",6.3159867725838
"201","HP07_","UVA","5-17 years",5.19875695251637
"202","HP07_","UVA","18-49 years",2.23115493036512
"203","HP07_","UVA","50-64 years",2.9069932091573
"204","HP07_","UVA","65+ years",3.89622190970157
"205","HP07_","IMP","Overall",16.4158042736071
"206","HP07_","IMP","0-4 years",18.0552205608873
"207","HP07_","IMP","5-17 years",24.2428187737593
"208","HP07_","IMP","18-49 years",13.5037352354007
"209","HP07_","IMP","50-64 years",13.5819537773484
"210","HP07_","IMP","65+ years",14.7740786388093
"211","HP07_","COL2","Overall",16.459163792688
"212","HP07_","COL2","0-4 years",37.4140006027761
"213","HP07_","COL2","5-17 years",22.4595689661016
"214","HP07_","COL2","18-49 years",9.79275056249716
"215","HP07_","COL2","50-64 years",16.1474272495023
"216","HP07_","COL2","65+ years",20.9924337460957
"217","HP08_","COL","Overall",7.20314011526958
"218","HP08_","COL","0-4 years",8.18863812906842
"219","HP08_","COL","5-17 years",7.23804144745999
"220","HP08_","COL","18-49 years",6.79763541246881
"221","HP08_","COL","50-64 years",8.12635047372851
"222","HP08_","COL","65+ years",9.05991188636752
"223","HP08_","NEU","Overall",6.55264879307453
"224","HP08_","NEU","0-4 years",7.13976867000502
"225","HP08_","NEU","5-17 years",2.55585067427967
"226","HP08_","NEU","18-49 years",6.98179636026761
"227","HP08_","NEU","50-64 years",8.38156349275759
"228","HP08_","NEU","65+ years",10.3485465875548
"229","HP08_","UTA","Overall",4.32514564291804
"230","HP08_","UTA","0-4 years",4.70170252382378
"231","HP08_","UTA","5-17 years",3.90679998119779
"232","HP08_","UTA","18-49 years",4.18441743020949
"233","HP08_","UTA","50-64 years",4.31885613073898
"234","HP08_","UTA","65+ years",6.71436549881596
