"","scenario","team","agegroup","cml","lower","upper"
"1","HP13_","COL","0-4 years",258.291131,196.262309,319.936634
"2","HP13_","COL","5-17 years",117.780573,90.66491,143.42699
"3","HP13_","COL","18-49 years",499.233055,469.065268,526.545336
"4","HP13_","COL","50-64 years",691.258427,639.63608,744.093826
"5","HP13_","COL","65+ years",872.069957,655.152927,1081.553041
"6","HP13_","NEU","0-4 years",415.087253,414.062803,418.03261
"7","HP13_","NEU","5-17 years",226.030807,225.571628,227.39663
"8","HP13_","NEU","18-49 years",423.153913,422.603356,424.798187
"9","HP13_","NEU","50-64 years",759.162821,758.148902,762.253592
"10","HP13_","NEU","65+ years",2037.693144,2034.534704,2047.713662
"11","HP13_","UTA","0-4 years",634.740518329011,523.03793094998,701.490358002399
"12","HP13_","UTA","5-17 years",265.464143165752,226.242290091291,287.165505353629
"13","HP13_","UTA","18-49 years",756.406773808647,639.855465109498,818.209765250441
"14","HP13_","UTA","50-64 years",800.831238227131,674.49010632939,867.669306340888
"15","HP13_","UTA","65+ years",2041.18402570693,1400.27952547493,2584.03552227359
"16","HP13_","UVA","0-4 years",170.751299286763,146.917416946601,190.589497121025
"17","HP13_","UVA","5-17 years",139.249597463403,132.711847459697,143.592997952009
"18","HP13_","UVA","18-49 years",181.949065135442,157.654030147036,201.847862477141
"19","HP13_","UVA","50-64 years",269.976901501596,230.989015418193,302.489348804736
"20","HP13_","UVA","65+ years",153.575867799768,125.16793102144,178.893725781467
"21","HP13_","UVA","0-4 years",170.79322468095,145.226518782021,192.06548119469
"22","HP13_","UVA","5-17 years",138.371207448871,131.206522784012,143.099959027115
"23","HP13_","UVA","18-49 years",180.776224852095,154.888415253332,201.891426982518
"24","HP13_","UVA","50-64 years",277.135637392028,234.943740344738,312.068995778408
"25","HP13_","UVA","65+ years",164.57954762119,132.852564159789,192.750664968026
"26","HP13_","UVA","0-4 years",180.146386441455,154.444918166332,201.445062144763
"27","HP13_","UVA","5-17 years",139.552687042895,132.810396780104,143.977560481941
"28","HP13_","UVA","18-49 years",178.174641608474,152.620749906741,199.150471894442
"29","HP13_","UVA","50-64 years",277.312109933868,235.555704041186,312.021312747587
"30","HP13_","UVA","65+ years",167.314543923411,135.456174765284,195.658044126234
"31","HP13_","UVA","0-4 years",177.095460217984,152.355218598267,197.598001331667
"32","HP13_","UVA","5-17 years",139.497625784917,132.857976656187,143.869963366767
"33","HP13_","UVA","18-49 years",186.394365865663,161.450913170716,206.686740313787
"34","HP13_","UVA","50-64 years",281.295217497501,241.04962644413,314.606925678643
"35","HP13_","UVA","65+ years",163.300064135995,133.206254260558,189.981100546782
"36","HP13_","UVA","0-4 years",184.496145966795,159.427890059198,205.233745047684
"37","HP13_","UVA","5-17 years",139.669299289447,133.248861919802,143.92173746022
"38","HP13_","UVA","18-49 years",183.517407910145,159.275530091188,203.355344516846
"39","HP13_","UVA","50-64 years",262.589521299927,224.560611858776,294.419883691395
"40","HP13_","UVA","65+ years",144.817780327769,118.039587817401,168.73319416
"41","HP13_","UVA","0-4 years",165.200814968597,142.058093348878,184.49007493747
"42","HP13_","UVA","5-17 years",138.627942956176,131.961982336503,143.085818116445
"43","HP13_","UVA","18-49 years",192.333780836375,167.964407187972,212.05391434411
"44","HP13_","UVA","50-64 years",282.168188861248,243.05623322285,314.502629976929
"45","HP13_","UVA","65+ years",148.563456257251,121.531490126218,172.583956559129
"46","HP13_","UVA","0-4 years",193.513555809445,168.439372006002,214.101787586223
"47","HP13_","UVA","5-17 years",140.16218868916,134.018990076333,144.225039009712
"48","HP13_","UVA","18-49 years",198.278279018823,174.249833428964,217.66545107627
"49","HP13_","UVA","50-64 years",293.713713412572,254.69429980505,325.857589840602
"50","HP13_","UVA","65+ years",181.684753010382,150.161941474118,209.473385385985
"51","HP13_","UVA","0-4 years",180.163004068037,155.131470991051,200.813750333921
"52","HP13_","UVA","5-17 years",137.295103303044,130.277825582588,142.021331437829
"53","HP13_","UVA","18-49 years",198.948830427395,174.417306772129,218.616246451896
"54","HP13_","UVA","50-64 years",292.003947554998,252.349143025592,324.522808230871
"55","HP13_","UVA","65+ years",156.93296859789,128.550335869533,181.996224481624
"56","HP13_","UVA","0-4 years",178.456016167796,153.362705871353,199.247853384778
"57","HP13_","UVA","5-17 years",136.97356646224,129.936061524564,141.729425908098
"58","HP13_","UVA","18-49 years",175.560305864833,151.299450508182,195.492164455679
"59","HP13_","UVA","50-64 years",253.638278169438,215.26097943358,285.767034849235
"60","HP13_","UVA","65+ years",143.849982127372,116.24400459373,168.469769135633
"61","HP13_","UVA","0-4 years",127.396097862051,108.287725114686,143.830214949024
