"","scenario","team","agegroup","cml","lower","upper"
"1","HP01_","COL","0-4 years",0.11381453,0.07744086,0.15873332
"2","HP01_","COL","5-17 years",0.14160723,0.0983393,0.19349014
"3","HP01_","COL","18-49 years",0.32777133,0.26115743,0.38734668
"4","HP01_","COL","50-64 years",0.20931081,0.1615282,0.25190899
"5","HP01_","COL","65+ years",0.05460903,0.03655636,0.07765335
"6","HP01_","NEU","0-4 years",0.22200061,0.2206062,0.22637917
"7","HP01_","NEU","5-17 years",0.33481064,0.33207348,0.34339751
"8","HP01_","NEU","18-49 years",0.29732076,0.2959784,0.30158027
"9","HP01_","NEU","50-64 years",0.26687658,0.26584947,0.27007487
"10","HP01_","NEU","65+ years",0.16145417,0.16072245,0.16369292
"11","HP01_","UTA","0-4 years",0.361645300416655,0.19518750851027,0.453354239580343
"12","HP01_","UTA","5-17 years",0.394271235459884,0.22485636534319,0.479536633573644
"13","HP01_","UTA","18-49 years",0.391668817268442,0.221198908269627,0.47984525731477
"14","HP01_","UTA","50-64 years",0.387880110109658,0.216724699567809,0.477893562474481
"15","HP01_","UTA","65+ years",0.150066132214188,0.0664010123544776,0.216056716868709
"16","HP01_","UVA","0-4 years",0,0,0
"17","HP01_","UVA","5-17 years",0,0,0
"18","HP01_","UVA","18-49 years",0,0,0
"19","HP01_","UVA","50-64 years",0,0,0
"20","HP01_","UVA","65+ years",0,0,0
"21","HP01_","IMP","0-4 years",0.237876695554298,0.219159017012741,0.26053960843512
"22","HP01_","IMP","5-17 years",0.332866125003988,0.319938172318508,0.342300592784949
"23","HP01_","IMP","18-49 years",0.248360261142049,0.229222672598805,0.267194800369176
"24","HP01_","IMP","50-64 years",0.209881704946732,0.188931499960162,0.227027160377773
"25","HP01_","IMP","65+ years",0.170243720630433,0.154362655567108,0.19773852230339
"26","HP01_","COL2","0-4 years",0.327851564133595,0.315069411818169,0.339250098084043
"27","HP01_","COL2","5-17 years",0.42051566095182,0.410712688854488,0.428597378773381
"28","HP01_","COL2","18-49 years",0.315113971203572,0.30278288440471,0.326510710797888
"29","HP01_","COL2","50-64 years",0.15831929925479,0.146932452349425,0.169267500005752
"30","HP01_","COL2","65+ years",0.0598881456473888,0.0551666336131335,0.0647440600524101
