"","team","HP13","HP14","HP15","HP16","HP17","HP18","HP19","HP20","HP21","HP22","HP23","HP24"
"1","COL","502 (443, 560)","484 (410, 554)","502 (443, 560)","491 (435, 550)","488 (433, 546)","491 (434, 549)","488 (431, 546)","485 (428, 543)","449 (378, 522)","442 (370, 516)","473 (418, 532)","470 (415, 528)"
"2","NEU","662 (661, 665)","662 (661, 664)","662 (661, 665)","587 (586, 589)","582 (582, 583)","589 (588, 591)","589 (588, 592)","615 (614, 616)","528 (527, 529)","504 (502, 512)","537 (536, 539)","536 (536, 539)"
"3","UTA","834 (664, 950)","730 (455, 904)","841 (683, 948)","781 (620, 897)","790 (658, 915)","740 (519, 891)","742 (517, 899)","550 (391, 642)","336 (130, 507)","267 (26, 489)","480 (290, 598)","462 (255, 602)"
"4","UVA","188 (163, 208)","187 (158, 208)","188 (163, 208)","170 (149, 191)","175 (160, 191)","164 (135, 190)","164 (143, 190)","161 (140, 179)","131 (92, 161)","121 (69, 159)","139 (108, 163)","136 (97, 162)"
"5","IMP","349 (327, 374)","348 (326, 373)","348 (326, 373)","289 (266, 312)","286 (269, 312)","310 (295, 331)","286 (269, 312)","340 (319, 365)","256 (222, 290)","256 (220, 291)","275 (253, 300)","273 (255, 297)"
"6","COL2","475 (458, 492)","475 (458, 492)","475 (458, 492)","431 (413, 450)","432 (414, 451)","431 (413, 449)","432 (414, 451)","466 (449, 483)","417 (399, 436)","418 (399, 438)","417 (400, 437)","418 (400, 438)"
"7","ENS","502 (453, 541)","481 (411, 532)","502 (456, 541)","458 (412, 498)","459 (419, 500)","454 (397, 500)","450 (394, 498)","436 (390, 471)","353 (291, 408)","334 (265, 401)","387 (334, 428)","383 (326, 428)"
