"","COL","COL2","IMP","NEU3","UTA","UVA","ENS"
"1","159 (137, 186)","129 (109, 147)","283 (263, 308)","182 (164, 227)","96 (55, 127)","136 (85, 174)","164 (136, 195)"
"2","123 (103, 154)","120 (100, 139)","271 (252, 296)","176 (157, 218)","78 (37, 112)","130 (72, 173)","150 (120, 182)"
"3","147 (124, 174)","125 (106, 144)","279 (258, 303)","179 (169, 210)","59 (25, 84)","116 (73, 150)","151 (126, 178)"
"4","107 (89, 137)","116 (95, 134)","265 (245, 289)","162 (155, 185)","48 (17, 75)","112 (62, 148)","135 (111, 161)"
"5","155 (132, 182)","120 (98, 134)","198 (155, 249)","130 (112, 178)","60 (23, 94)","118 (75, 156)","130 (99, 166)"
"6","151 (126, 178)","138 (115, 134)","178 (152, 200)","182 (164, 227)","61 (12, 101)","126 (84, 157)","139 (109, 166)"
"7","104 (86, 134)","90 (71, 134)","121 (97, 144)","115 (107, 141)","24 (10, 46)","79 (27, 125)","89 (66, 121)"
"8","83 (66, 112)","95 (68, 134)","130 (101, 154)","79 (67, 116)","22 (4, 44)","71 (19, 118)","80 (54, 113)"
