"","scenario","team","agegroup","reduction"
"1","RL02_","COL","0-4 years",11.9493744442594
"2","RL02_","COL","5-17 years",12.6376971571639
"3","RL02_","COL","18-49 years",24.4773635921538
"4","RL02_","COL","50-64 years",30.1620981542889
"5","RL02_","COL","65+ years",17.3907760996703
"6","RL02_","NEU","0-4 years",1.7225848922746
"7","RL02_","NEU","5-17 years",1.57445057993666
"8","RL02_","NEU","18-49 years",1.64295493333824
"9","RL02_","NEU","50-64 years",2.51533328580319
"10","RL02_","NEU","65+ years",1.96618822354583
"11","RL02_","UTA","0-4 years",14.0328706635581
"12","RL02_","UTA","5-17 years",13.1317497119892
"13","RL02_","UTA","18-49 years",17.0777660543804
"14","RL02_","UTA","50-64 years",16.3785870301778
"15","RL02_","UTA","65+ years",22.9965570555005
"16","RL02_","UVA","0-4 years",4.88443470016005
"17","RL02_","UVA","5-17 years",3.90806402907179
"18","RL02_","UVA","18-49 years",3.57061410518629
"19","RL02_","UVA","50-64 years",3.77100635065443
"20","RL02_","UVA","65+ years",4.12300481388517
"21","RL02_","IMP","0-4 years",0.173614472316934
"22","RL02_","IMP","5-17 years",0.131280769336242
"23","RL02_","IMP","18-49 years",0.137400637617718
"24","RL02_","IMP","50-64 years",0.14673595432474
"25","RL02_","IMP","65+ years",0.152133630324736
"26","RL02_","COL2","0-4 years",6.52781219541115
"27","RL02_","COL2","5-17 years",5.10542237153713
"28","RL02_","COL2","18-49 years",5.87427055042255
"29","RL02_","COL2","50-64 years",7.11740484612221
"30","RL02_","COL2","65+ years",7.15950207405205
"31","RL02_","NEU2","0-4 years",1.7225848922746
"32","RL02_","NEU2","5-17 years",1.57445057993666
"33","RL02_","NEU2","18-49 years",1.64295493333824
"34","RL02_","NEU2","50-64 years",2.51533328580319
"35","RL02_","NEU2","65+ years",1.96618822354583
"36","RL03_","COL","0-4 years",8.51186677042209
"37","RL03_","COL","5-17 years",7.51413515246098
"38","RL03_","COL","18-49 years",6.37195015792298
"39","RL03_","COL","50-64 years",7.55134073889355
"40","RL03_","COL","65+ years",9.03555667571943
"41","RL03_","NEU","0-4 years",-1.12570374389949
"42","RL03_","NEU","5-17 years",-2.66098318906685
"43","RL03_","NEU","18-49 years",-1.70708453069067
"44","RL03_","NEU","50-64 years",-1.1251442764404
"45","RL03_","NEU","65+ years",-0.160218935678401
"46","RL03_","UTA","0-4 years",4.53524340705192
"47","RL03_","UTA","5-17 years",3.09832300970324
"48","RL03_","UTA","18-49 years",6.54505584839964
"49","RL03_","UTA","50-64 years",6.65569528943914
"50","RL03_","UTA","65+ years",10.8377991444928
"51","RL03_","UVA","0-4 years",0
"52","RL03_","UVA","5-17 years",0
"53","RL03_","UVA","18-49 years",0
"54","RL03_","UVA","50-64 years",0
"55","RL03_","UVA","65+ years",0
"56","RL03_","IMP","0-4 years",3.31938929854396
"57","RL03_","IMP","5-17 years",0.832625228224084
"58","RL03_","IMP","18-49 years",3.95859189481571
"59","RL03_","IMP","50-64 years",4.60521480343297
"60","RL03_","IMP","65+ years",4.40609725577091
"61","RL03_","COL2","0-4 years",2.43707712271607
"62","RL03_","COL2","5-17 years",1.72585489662488
"63","RL03_","COL2","18-49 years",2.40600418679714
"64","RL03_","COL2","50-64 years",3.05988805439585
"65","RL03_","COL2","65+ years",3.11741465742193
"66","RL03_","NEU2","0-4 years",-1.12570374389949
"67","RL03_","NEU2","5-17 years",-2.66098318906685
"68","RL03_","NEU2","18-49 years",-1.70708453069067
"69","RL03_","NEU2","50-64 years",-1.1251442764404
"70","RL03_","NEU2","65+ years",-0.160218935678401
"71","RL04_","COL","0-4 years",22.1005998541894
"72","RL04_","COL","5-17 years",21.9758703858803
"73","RL04_","COL","18-49 years",33.5384682195922
"74","RL04_","COL","50-64 years",39.8894805320886
"75","RL04_","COL","65+ years",28.1641351297897
"76","RL04_","NEU","0-4 years",10.3030027467473
"77","RL04_","NEU","5-17 years",8.34395887331291
"78","RL04_","NEU","18-49 years",9.35500022851535
"79","RL04_","NEU","50-64 years",12.1293131188953
"80","RL04_","NEU","65+ years",11.7718335219799
"81","RL04_","UTA","0-4 years",19.7031260186166
"82","RL04_","UTA","5-17 years",17.1914980405016
"83","RL04_","UTA","18-49 years",24.4807417617951
"84","RL04_","UTA","50-64 years",23.8666486703025
"85","RL04_","UTA","65+ years",33.3158283613052
"86","RL04_","UVA","0-4 years",4.88443470016005
"87","RL04_","UVA","5-17 years",3.90806402907179
"88","RL04_","UVA","18-49 years",3.57061410518629
"89","RL04_","UVA","50-64 years",3.77100635065443
"90","RL04_","UVA","65+ years",4.12300481388517
"91","RL04_","IMP","0-4 years",3.56763833042302
"92","RL04_","IMP","5-17 years",1.02050017442968
"93","RL04_","IMP","18-49 years",4.15411005526015
"94","RL04_","IMP","50-64 years",4.81273959107629
"95","RL04_","IMP","65+ years",4.62077509392001
"96","RL04_","COL2","0-4 years",10.0143021897121
"97","RL04_","COL2","5-17 years",7.75213182226577
"98","RL04_","COL2","18-49 years",9.23044308228298
"99","RL04_","COL2","50-64 years",11.1938420186584
"100","RL04_","COL2","65+ years",11.2719649026451
"101","RL04_","NEU2","0-4 years",10.3030027467473
"102","RL04_","NEU2","5-17 years",8.34395887331291
"103","RL04_","NEU2","18-49 years",9.35500022851535
"104","RL04_","NEU2","50-64 years",12.1293131188953
"105","RL04_","NEU2","65+ years",11.7718335219799
"106","RL05_","COL","0-4 years",3.30515139152594
"107","RL05_","COL","5-17 years",8.52483007817318
"108","RL05_","COL","18-49 years",1.94683240525308
"109","RL05_","COL","50-64 years",1.85266505941072
"110","RL05_","COL","65+ years",3.34576050561332
"111","RL05_","NEU","0-4 years",31.6077490827375
"112","RL05_","NEU","5-17 years",42.6857588869879
"113","RL05_","NEU","18-49 years",24.3718931928931
"114","RL05_","NEU","50-64 years",21.4351290732202
"115","RL05_","NEU","65+ years",23.6384720056731
"116","RL05_","UTA","0-4 years",32.0154396032609
"117","RL05_","UTA","5-17 years",32.3827582871623
"118","RL05_","UTA","18-49 years",40.3676722403182
"119","RL05_","UTA","50-64 years",39.2301214678591
"120","RL05_","UTA","65+ years",32.4677092553587
"121","RL05_","UVA","0-4 years",21.663542800768
"122","RL05_","UVA","5-17 years",21.1223952776022
"123","RL05_","UVA","18-49 years",9.51534959244762
"124","RL05_","UVA","50-64 years",11.7273819628637
"125","RL05_","UVA","65+ years",15.0065511848558
"126","RL05_","IMP","0-4 years",-6.63332184672288e-05
"127","RL05_","IMP","5-17 years",-0.000279941337618387
"128","RL05_","IMP","18-49 years",-4.66315635317182e-05
"129","RL05_","IMP","50-64 years",-3.70244564481018e-05
"130","RL05_","IMP","65+ years",-4.9665446119283e-05
"131","RL05_","COL2","0-4 years",17.588960624092
"132","RL05_","COL2","5-17 years",11.5736176052825
"133","RL05_","COL2","18-49 years",2.89975476300697
"134","RL05_","COL2","50-64 years",5.29346361422457
"135","RL05_","COL2","65+ years",7.86189949015187
"136","RL05_","NEU2","0-4 years",31.6077490827375
"137","RL05_","NEU2","5-17 years",42.6857588869879
"138","RL05_","NEU2","18-49 years",24.3718931928931
"139","RL05_","NEU2","50-64 years",21.4351290732202
"140","RL05_","NEU2","65+ years",23.6384720056731
"141","RL06_","COL","0-4 years",9.6408675093804
"142","RL06_","COL","5-17 years",17.9522377020008
"143","RL06_","COL","18-49 years",2.44649731043865
"144","RL06_","COL","50-64 years",1.68552479793499
"145","RL06_","COL","65+ years",8.89847829549803
"146","RL06_","NEU","0-4 years",-0.0281773444176428
"147","RL06_","NEU","5-17 years",-0.0303465870177708
"148","RL06_","NEU","18-49 years",-0.0274790811586957
"149","RL06_","NEU","50-64 years",-0.0266008181606331
"150","RL06_","NEU","65+ years",-0.0285121573501485
"151","RL06_","UTA","0-4 years",33.2379508065806
"152","RL06_","UTA","5-17 years",34.3655504047286
"153","RL06_","UTA","18-49 years",41.1762979422923
"154","RL06_","UTA","50-64 years",40.0148561727723
"155","RL06_","UTA","65+ years",32.3555194838366
"156","RL06_","UVA","0-4 years",12.9573996318208
"157","RL06_","UVA","5-17 years",11.4271732774876
"158","RL06_","UVA","18-49 years",4.47558773809054
"159","RL06_","UVA","50-64 years",5.99360331841834
"160","RL06_","UVA","65+ years",8.19053853152042
"161","RL06_","IMP","0-4 years",13.0587257959229
"162","RL06_","IMP","5-17 years",23.5609868190323
"163","RL06_","IMP","18-49 years",11.7137882272579
"164","RL06_","IMP","50-64 years",11.6282215870767
"165","RL06_","IMP","65+ years",12.9154927043851
"166","RL06_","COL2","0-4 years",2.24386050512477
"167","RL06_","COL2","5-17 years",0.4834047809006
"168","RL06_","COL2","18-49 years",-9.29534802711368
"169","RL06_","COL2","50-64 years",-10.2795572900862
"170","RL06_","COL2","65+ years",-8.5004553487057
"171","RL06_","NEU2","0-4 years",-0.0281773444176428
"172","RL06_","NEU2","5-17 years",-0.0303465870177708
"173","RL06_","NEU2","18-49 years",-0.0274790811586957
"174","RL06_","NEU2","50-64 years",-0.0266008181606331
"175","RL06_","NEU2","65+ years",-0.0285121573501485
"176","RL07_","COL","0-4 years",24.6135842448562
"177","RL07_","COL","5-17 years",28.1969034636074
"178","RL07_","COL","18-49 years",35.635919190702
"179","RL07_","COL","50-64 years",41.6412856017025
"180","RL07_","COL","65+ years",30.4799992394839
"181","RL07_","NEU","0-4 years",37.489354576996
"182","RL07_","NEU","5-17 years",45.2770106855706
"183","RL07_","NEU","18-49 years",30.9893983846827
"184","RL07_","NEU","50-64 years",28.3186567983829
"185","RL07_","NEU","65+ years",30.9183224994082
"186","RL07_","UTA","0-4 years",56.945663060317
"187","RL07_","UTA","5-17 years",54.5352613988523
"188","RL07_","UTA","18-49 years",65.5385040297036
"189","RL07_","UTA","50-64 years",64.6117940932158
"190","RL07_","UTA","65+ years",67.400022647423
"191","RL07_","UVA","0-4 years",42.6596342314572
"192","RL07_","UVA","5-17 years",41.7658794216822
"193","RL07_","UVA","18-49 years",27.6977025033934
"194","RL07_","UVA","50-64 years",30.5648689734186
"195","RL07_","UVA","65+ years",34.6428514321675
"196","RL07_","IMP","0-4 years",13.4684011681648
"197","RL07_","IMP","5-17 years",16.6952341623821
"198","RL07_","IMP","18-49 years",13.0963067062643
"199","RL07_","IMP","50-64 years",13.6243711368619
"200","RL07_","IMP","65+ years",14.1496027017155
"201","RL07_","COL2","0-4 years",42.2305197223833
"202","RL07_","COL2","5-17 years",31.8217099330388
"203","RL07_","COL2","18-49 years",24.5168479544603
"204","RL07_","COL2","50-64 years",30.4126120203315
"205","RL07_","COL2","65+ years",33.1907952214512
"206","RL07_","NEU2","0-4 years",37.489354576996
"207","RL07_","NEU2","5-17 years",45.2770106855706
"208","RL07_","NEU2","18-49 years",30.9893983846827
"209","RL07_","NEU2","50-64 years",28.3186567983829
"210","RL07_","NEU2","65+ years",30.9183224994082
"211","RL08_","COL","0-4 years",39.3516027924823
"212","RL08_","COL","5-17 years",46.1620879373507
"213","RL08_","COL","18-49 years",46.5971581299323
"214","RL08_","COL","50-64 years",52.9475030742815
"215","RL08_","COL","65+ years",45.6719796905117
"216","RL08_","NEU","0-4 years",40.8872048859547
"217","RL08_","NEU","5-17 years",48.8322392694999
"218","RL08_","NEU","18-49 years",35.38742070099
"219","RL08_","NEU","50-64 years",43.3979582595492
"220","RL08_","NEU","65+ years",37.3036867297606
"221","RL08_","UTA","0-4 years",60.7159939570254
"222","RL08_","UTA","5-17 years",59.0268640045761
"223","RL08_","UTA","18-49 years",69.2637186421759
"224","RL08_","UTA","50-64 years",68.2834464669253
"225","RL08_","UTA","65+ years",71.6310104840831
"226","RL08_","UVA","0-4 years",48.9437027861678
"227","RL08_","UVA","5-17 years",44.1417183366666
"228","RL08_","UVA","18-49 years",35.3549197873872
"229","RL08_","UVA","50-64 years",37.2100293798109
"230","RL08_","UVA","65+ years",41.4497574446558
"231","RL08_","IMP","0-4 years",16.4262176414004
"232","RL08_","IMP","5-17 years",24.1827799660013
"233","RL08_","IMP","18-49 years",15.589766881889
"234","RL08_","IMP","50-64 years",16.0288554788899
"235","RL08_","IMP","65+ years",17.0195508208672
"236","RL08_","COL2","0-4 years",36.9037886000392
"237","RL08_","COL2","5-17 years",28.3276312495409
"238","RL08_","COL2","18-49 years",21.0678598880595
"239","RL08_","COL2","50-64 years",26.3904103634067
"240","RL08_","COL2","65+ years",28.8743155396396
"241","RL08_","NEU2","0-4 years",40.8872048859547
"242","RL08_","NEU2","5-17 years",48.8322392694999
"243","RL08_","NEU2","18-49 years",35.38742070099
"244","RL08_","NEU2","50-64 years",43.3979582595492
"245","RL08_","NEU2","65+ years",37.3036867297606
