"","scenario","team","agegroup","cml","lower","upper"
"1","HP13_","COL","Overall",0.31798726,0.28844137,0.34727617
"2","HP13_","COL","0-4 years",0.18449366,0.14018736,0.22852617
"3","HP13_","COL","5-17 years",0.21811217,0.16789798,0.26560554
"4","HP13_","COL","18-49 years",0.4457438,0.41880828,0.47012976
"5","HP13_","COL","50-64 years",0.31420838,0.29074367,0.33822447
"6","HP13_","COL","65+ years",0.09593729,0.07207403,0.11898273
"7","HP13_","NEU","Overall",0.35334086,0.35298978,0.35442721
"8","HP13_","NEU","0-4 years",0.29646282,0.29609398,0.29757455
"9","HP13_","NEU","5-17 years",0.41855148,0.41819984,0.41966162
"10","HP13_","NEU","18-49 years",0.37779319,0.37743629,0.37889286
"11","HP13_","NEU","50-64 years",0.3450673,0.34469762,0.34619607
"12","HP13_","NEU","65+ years",0.22417683,0.22384985,0.22515356
"13","HP13_","UTA","Overall",0.448806624057733,0.374309679214745,0.491725883887858
"14","HP13_","UTA","0-4 years",0.456566211852857,0.375229336194483,0.504988151437866
"15","HP13_","UTA","5-17 years",0.481286259445439,0.408817910369906,0.521164850334334
"16","HP13_","UTA","18-49 years",0.483130035427301,0.408606494375948,0.522707676948298
"17","HP13_","UTA","50-64 years",0.48165473807377,0.405339269360295,0.522116454853795
"18","HP13_","UTA","65+ years",0.2248212358126,0.153990891942801,0.284988140981111
"19","HP13_","UVA","Overall",0.295377672100132,0.262093358111444,0.3223515290875
"20","HP13_","UVA","0-4 years",0.260848303218398,0.224438461574399,0.291154135534717
"21","HP13_","UVA","5-17 years",0.505443184985129,0.48171269495353,0.521208704000035
"22","HP13_","UVA","18-49 years",0.300742256422218,0.260585173796753,0.333632830540729
"23","HP13_","UVA","50-64 years",0.263084098130575,0.225091615102508,0.294766467359907
"24","HP13_","UVA","65+ years",0.100507766884665,0.0819161852234556,0.117077045668499
"25","HP13_","IMP","Overall",0.297051676657977,0.283120580503979,0.310213281041793
"26","HP13_","IMP","0-4 years",0.288933113453108,0.268449435496894,0.31041640236932
"27","HP13_","IMP","5-17 years",0.383623252792783,0.376269779158477,0.390565607989096
"28","HP13_","IMP","18-49 years",0.300518914254517,0.277671725484101,0.327734510615657
"29","HP13_","IMP","50-64 years",0.259217285003701,0.234182669836574,0.276361484126083
"30","HP13_","IMP","65+ years",0.213709615166808,0.193817729197969,0.244543229442979
"31","HP13_","COL2","Overall",0.33314141739668,0.325583675622928,0.341363231709907
"32","HP13_","COL2","0-4 years",0.400774848144874,0.391974274819146,0.409092341739585
"33","HP13_","COL2","5-17 years",0.478535817670426,0.473152650370263,0.48320285306424
"34","HP13_","COL2","18-49 years",0.390752661691528,0.382006251889571,0.399467701230521
"35","HP13_","COL2","50-64 years",0.216853704056403,0.205588643547395,0.229326037531511
"36","HP13_","COL2","65+ years",0.0852569542163476,0.0791797351381094,0.0917017814179339
