"","team","HP01","HP02","HP03","HP04","HP05","HP06","HP07","HP08","HP09","HP10","HP11","HP12"
"1","COL","20 (15, 27)","15 (9, 23)","20 (15, 27)","15 (9, 23)","13 (7, 21)","19 (14, 26)","19 (13, 25)","19 (13, 25)","13 (8, 20)","11 (6, 18)","18 (12, 24)","17 (12, 23)"
"2","NEU","43 (42, 43)","33 (32, 35)","42 (42, 43)","27 (26, 29)","12 (11, 16)","35 (35, 35)","31 (31, 32)","36 (36, 36)","12 (11, 15)","2 (2, 4)","25 (25, 26)","14 (13, 17)"
"3","UTA","44 (21, 60)","13 (1, 33)","46 (23, 62)","43 (21, 58)","41 (15, 60)","36 (14, 52)","33 (7, 54)","33 (11, 47)","7 (0, 15)","1 (0, 6)","23 (9, 38)","21 (2, 38)"
"4","UVA","28 (21, 33)","22 (9, 31)","27 (20, 33)","26 (21, 30)","27 (21, 33)","23 (19, 27)","27 (21, 30)","27 (21, 32)","12 (6, 19)","6 (1, 13)","16 (8, 24)","10 (1, 20)"
"5","IMP","36 (33, 41)","31 (25, 36)","36 (33, 41)","35 (32, 40)","22 (13, 29)","27 (24, 31)","31 (28, 36)","35 (32, 40)","12 (7, 19)","3 (0, 11)","20 (15, 25)","11 (2, 24)"
"6","COL2","21 (19, 22)","20 (17, 21)","21 (19, 22)","18 (17, 19)","19 (18, 21)","17 (16, 19)","17 (16, 19)","20 (19, 21)","7 (6, 8)","10 (6, 14)","16 (15, 18)","16 (14, 17)"
"7","ENS","32 (25, 38)","22 (15, 30)","32 (26, 38)","27 (21, 33)","23 (14, 30)","26 (20, 32)","26 (19, 33)","28 (22, 34)","10 (6, 16)","6 (2, 11)","20 (14, 26)","15 (7, 23)"
