Location,Agegroup,Bin_cml,Cml,Bin,PeakMagnitude,Week1,Week2,Week3,Week4,Week5,Week6,Week7,Week8,Week9,Week10,Week11,Week12,Week13,Week14,Week15,Week16,Week17,Week18,Week19,Week20,Week21,Week22,Week23,Week24,Week25,Week26,Week27,Week28,Week29,Week30,Week31,Week32,Week33,Week34,Week35,Week36,Week37,Week38,Week39,Week40,Week41,Week42,Week43,Week44,Week45,Week46,Week47,Week48,Week49,Week50,Week51,Week52
US National,Overall,[0-1),0,[0-0.25),0,1,1,1,0.975,0.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166666666666667,0.133333333333333,0.483333333333333,0.966666666666667,1,1,1,1,1,1,1,1,1,1,NaN,NaN,NaN,1,1,1,1,1,1,1,1,1,1,1,1,1,1
US National,Overall,[1-2),0,[0.25-0.5),0,0,0,0,0.025,0.45,0.308333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166666666666667,0.0916666666666667,0.2,0.4,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[2-3),0,[0.5-0.75),0,0,0,0,0,0.0833333333333333,0.325,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0.0916666666666667,0.258333333333333,0.1,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[3-4),0,[0.75-1),0,0,0,0,0,0.0166666666666667,0.125,0.216666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0.1,0.158333333333333,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[4-5),0,[1-1.25),0,0,0,0,0,0,0.108333333333333,0.0583333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0.0416666666666667,0.0333333333333333,0.1,0.166666666666667,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[5-6),0,[1.25-1.5),0,0,0,0,0,0,0.05,0.0916666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0.00833333333333333,0.05,0.108333333333333,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[6-7),0,[1.5-1.75),0,0,0,0,0,0,0.00833333333333333,0.141666666666667,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0166666666666667,0.0333333333333333,0.116666666666667,0.025,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[7-8),0,[1.75-2),0,0,0,0,0,0,0.05,0.0916666666666667,0.0583333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0.0583333333333333,0.0833333333333333,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[8-9),0,[2-2.25),0,0,0,0,0,0,0.00833333333333333,0.0583333333333333,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0.0166666666666667,0,0.0333333333333333,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[9-10),0,[2.25-2.5),0,0,0,0,0,0,0,0.025,0.075,0,0,0,0,0,0,0,0,0,0,0.0166666666666667,0.0333333333333333,0.075,0.0666666666666667,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[10-11),0,[2.5-2.75),0,0,0,0,0,0,0.0166666666666667,0.0416666666666667,0.05,0,0,0,0,0,0,0,0,0,0,0.0166666666666667,0.0166666666666667,0.0583333333333333,0.075,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[11-12),0,[2.75-3),0,0,0,0,0,0,0,0.0666666666666667,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.025,0.0666666666666667,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[12-13),0,[3-3.25),0,0,0,0,0,0,0,0.0333333333333333,0.0583333333333333,0,0,0,0,0,0,0,0,0,0,0.00833333333333333,0.025,0.075,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[13-14),0,[3.25-3.5),0,0,0,0,0,0,0,0.00833333333333333,0.05,0.00833333333333333,0,0,0,0,0,0,0,0,0,0.00833333333333333,0.00833333333333333,0.0583333333333333,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[14-15),0,[3.5-3.75),0,0,0,0,0,0,0,0.0166666666666667,0.05,0.00833333333333333,0,0,0,0,0,0,0,0,0,0.00833333333333333,0.025,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[15-16),0,[3.75-4),0,0,0,0,0,0,0,0.0166666666666667,0.0833333333333333,0,0,0,0,0,0,0,0,0,0,0.0166666666666667,0.05,0.0333333333333333,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[16-17),0,[4-4.25),0,0,0,0,0,0,0,0.0166666666666667,0.0833333333333333,0.00833333333333333,0,0,0,0,0,0,0,0,0.00833333333333333,0.00833333333333333,0.0166666666666667,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[17-18),0,[4.25-4.5),0,0,0,0,0,0,0,0.0166666666666667,0.0416666666666667,0.0333333333333333,0,0,0,0,0,0,0,0,0.00833333333333333,0.00833333333333333,0.0166666666666667,0.0416666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[18-19),0,[4.5-4.75),0,0,0,0,0,0,0,0,0.0416666666666667,0.0416666666666667,0.00833333333333333,0,0,0,0,0,0,0,0.0166666666666667,0.0166666666666667,0.0333333333333333,0.0333333333333333,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[19-20),0,[4.75-5),0,0,0,0,0,0,0,0,0.025,0.025,0,0,0,0,0,0,0,0,0.0166666666666667,0.00833333333333333,0.0333333333333333,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[20-21),0,[5-5.25),0,0,0,0,0,0,0,0.00833333333333333,0.0333333333333333,0.05,0.00833333333333333,0,0,0,0,0,0,0,0,0.00833333333333333,0.05,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[21-22),0,[5.25-5.5),0,0,0,0,0,0,0,0.025,0.0166666666666667,0.05,0,0,0,0,0,0,0,0,0,0.00833333333333333,0.0166666666666667,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[22-23),0,[5.5-5.75),0,0,0,0,0,0,0,0.0166666666666667,0.00833333333333333,0.0583333333333333,0,0,0,0,0,0,0,0,0.00833333333333333,0.025,0.05,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[23-24),0,[5.75-6),0,0,0,0,0,0,0,0.0166666666666667,0.0333333333333333,0.0916666666666667,0.00833333333333333,0,0,0,0,0,0,0,0,0.0166666666666667,0.0333333333333333,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[24-25),0,[6-6.25),0,0,0,0,0,0,0,0,0.00833333333333333,0.025,0,0,0,0,0,0,0,0,0.00833333333333333,0.00833333333333333,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[25-26),0,[6.25-6.5),0,0,0,0,0,0,0,0,0,0.0833333333333333,0.025,0,0,0,0,0,0,0,0,0.00833333333333333,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[26-27),0,[6.5-6.75),0,0,0,0,0,0,0,0,0.0166666666666667,0.025,0.0166666666666667,0.00833333333333333,0,0,0,0,0,0,0.00833333333333333,0.00833333333333333,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[27-28),0,[6.75-7),0,0,0,0,0,0,0,0,0.0166666666666667,0.0416666666666667,0.025,0,0,0,0,0,0,0,0.00833333333333333,0.0166666666666667,0.025,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[28-29),0,[7-7.25),0,0,0,0,0,0,0,0,0.0166666666666667,0.025,0.00833333333333333,0,0,0,0,0,0,0,0.00833333333333333,0.00833333333333333,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[29-30),0,[7.25-7.5),0,0,0,0,0,0,0,0,0.0166666666666667,0.025,0.0166666666666667,0.00833333333333333,0,0,0,0,0,0,0,0.0333333333333333,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[30-31),0,[7.5-7.75),0,0,0,0,0,0,0,0,0.0166666666666667,0.025,0.0416666666666667,0,0,0,0,0,0,0,0.00833333333333333,0.025,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[31-32),0,[7.75-8),0,0,0,0,0,0,0,0,0.00833333333333333,0.025,0.025,0,0,0,0,0,0,0.00833333333333333,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[32-33),0,[8-8.25),0,0,0,0,0,0,0,0,0,0.05,0.0333333333333333,0,0,0,0,0,0,0.0166666666666667,0.00833333333333333,0.0166666666666667,0.0333333333333333,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[33-34),0,[8.25-8.5),0,0,0,0,0,0,0,0,0.00833333333333333,0.00833333333333333,0.0166666666666667,0.00833333333333333,0,0,0,0,0,0.0166666666666667,0.00833333333333333,0.0166666666666667,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[34-35),0,[8.5-8.75),0,0,0,0,0,0,0,0,0,0.0416666666666667,0.0166666666666667,0,0,0,0,0,0,0,0.0166666666666667,0.00833333333333333,0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[35-36),0,[8.75-9),0,0,0,0,0,0,0,0,0,0.0166666666666667,0.0583333333333333,0.025,0,0,0,0,0,0.00833333333333333,0,0.025,0.00833333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[36-37),0,[9-9.25),0,0,0,0,0,0,0,0,0.00833333333333333,0.0166666666666667,0.0333333333333333,0,0,0,0,0,0,0,0,0.025,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[37-38),0,[9.25-9.5),0,0,0,0,0,0,0,0,0,0.0166666666666667,0.0583333333333333,0.0166666666666667,0,0,0,0,0,0,0.0166666666666667,0.0333333333333333,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
US National,Overall,[38-39),0,[9.5-9.75),0,0,0,0,0,0,0,0,0,0.0166666666666667,0.025,0.00833333333333333,0.00833333333333333,0,0,0,0,0,0,0.0166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
